省份编码,省份,年份,城区面积(平方公里),建成区面积(平方公里),城市建设用地面积(平方公里),征用土地面积(平方公里),城市人口密度(人/平方公里)
110000,北京市,2019,16410,1469.05,,,1136.50213284583
110000,北京市,2018,16410,1469.05,1471.75,29.9,1135.52711761121
110000,北京市,2017,16410,1445.54,1465.3,17.55,1144.0
110000,北京市,2016,16410,1419.66,1463.79,15.72,1145.0
110000,北京市,2015,12187,1401.01,1454.69,8.73,1541.0
110000,北京市,2014,12187,1385.58,1586.39,14.38,1525.0
110000,北京市,2013,12187,1306.45,1504.79,34.91,1498.0
110000,北京市,2012,12187,1261.11,1445.01,42.16,1464.0
110000,北京市,2011,12187,1231.3,1425.87,50.42,1428.0
110000,北京市,2010,12187,,,46.48,1383.0
110000,北京市,2009,12187,1349.83,1349.83,,1224.0
110000,北京市,2008,12187,1310.94,1310.94,,1181.0
110000,北京市,2007,,1289.32,1289.32,,1132.0
110000,北京市,2006,,1254.23,1254.23,,1093.7579488223
110000,北京市,2005,,1200.0,,,937.233394271785
110000,北京市,2004,,1182.3,1254.4,53.4,2623.0
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,2639.78,1151.05,,,4939.19947874444
120000,天津市,2018,2585.19,1077.83,950.55,29.6,5016.30441089436
120000,天津市,2017,2585.18,1087.57,995.02,14.61,3276.0
120000,天津市,2016,2583.28,1007.91,961.65,20.32,3639.0
120000,天津市,2015,2506.11,885.43,870.18,22.95,3492.0
120000,天津市,2014,2363.05,797.1,786.8,16.57,3328.0
120000,天津市,2013,2334.47,747.26,736.35,41.13,2843.0
120000,天津市,2012,2334.47,722.14,722.14,55.7,2782.0
120000,天津市,2011,2334.47,710.6,710.6,44.04,2636.0
120000,天津市,2010,2236.12,686.71,686.71,43.96,2752.0
120000,天津市,2009,2236.12,662.25,662.25,60.45,2716.0
120000,天津市,2008,2236.12,640.85,640.85,70.32,2858.0
120000,天津市,2007,,571.53,571.56,68.86,2912.0
120000,天津市,2006,,539.98,539.98,45.88,2590.1260715166
120000,天津市,2005,,530.0,529.99,,863.456576425007
120000,天津市,2004,,500.14,500.13,,852.0
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,6309.33,2182.09,,,3062.76577703179
130000,河北省,2018,5926.79,2162.73,1860.14,58.14,3210.35501510936
130000,河北省,2017,6907.3,2120.2,2014.17,63.78,2675.0
130000,河北省,2016,6613.44,2056.45,1944.93,50.37,2659.0
130000,河北省,2015,6398.7,1944.42,1816.1,38.54,2646.0
130000,河北省,2014,6412.43,1833.17,1719.1,33.03,2540.0
130000,河北省,2013,6477.93,1787.24,1651.51,28.94,2483.0
130000,河北省,2012,6611.24,1738.89,1609.33,19.72,2411.0
130000,河北省,2011,6627.02,1684.6,1625.16,42.71,2362.0
130000,河北省,2010,6521.74,1619.67,1571.72,37.08,2354.0
130000,河北省,2009,6517.13,1577.52,1499.26,38.57,2344.0
130000,河北省,2008,6230.61,1528.33,1432.85,27.94,2375.0
130000,河北省,2007,,1474.0,1358.97,32.45,2376.0
130000,河北省,2006,,1416.97,1314.94,43.86,2443.82534389892
130000,河北省,2005,,1316.38,1255.53,48.99,2131.87513477501
130000,河北省,2004,,1248.39,1194.77,35.91,2107.0
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,3164.34,1222.75,,,3804.49003583686
140000,山西省,2018,3297.75,1180.11,1147.62,4.49,3513.57743916307
140000,山西省,2017,3297.75,1178.32,1140.08,17.68,3454.0
140000,山西省,2016,2893.26,1157.63,1129.04,19.47,3908.0
140000,山西省,2015,2837.08,1123.46,1079.3,24.84,3920.0
140000,山西省,2014,2728.99,1097.36,1034.25,25.34,3974.0
140000,山西省,2013,2998.81,1040.69,972.65,25.85,3526.0
140000,山西省,2012,3427.17,1013.84,944.09,26.75,3028.0
140000,山西省,2011,3400.77,956.92,878.41,25.82,2977.0
140000,山西省,2010,3348.34,864.73,847.15,16.61,2890.0
140000,山西省,2009,3270.35,822.93,833.06,33.44,2931.0
140000,山西省,2008,3249.95,784.1,751.76,16.33,2918.0
140000,山西省,2007,,774.42,786.0,20.76,2914.0
140000,山西省,2006,,733.86,734.9,18.39,2487.78102281513
140000,山西省,2005,,709.29,676.14,11.82,1587.79593068292
140000,山西省,2004,,674.95,655.02,8.69,1566.0
140000,山西省,2003,,,,,
140000,山西省,2002,,,,,
140000,山西省,2001,,,,,
140000,山西省,2000,,,,,
150000,内蒙古自治区,2019,5081.98,1269.74,,,1820.2747747925
150000,内蒙古自治区,2018,5058.33,1270.11,1185.57,29.6,1846.49874563344
150000,内蒙古自治区,2017,4884.54,1269.16,1202.73,74.41,1824.0
150000,内蒙古自治区,2016,4871.72,1241.59,1146.87,28.38,1822.0
150000,内蒙古自治区,2015,5372.72,1225.21,1164.76,19.57,1629.0
150000,内蒙古自治区,2014,6764.56,1184.81,1265.68,25.21,1291.0
150000,内蒙古自治区,2013,8355.93,1206.21,1187.54,16.55,1059.0
150000,内蒙古自治区,2012,8500.97,1132.78,1198.84,17.94,1032.0
150000,内蒙古自治区,2011,10996.7,1077.04,1179.53,27.92,764.0
150000,内蒙古自治区,2010,8537.05,1038.32,1123.44,14.12,981.0
150000,内蒙古自治区,2009,8330.05,975.48,905.17,31.74,951.0
150000,内蒙古自治区,2008,11801.5,885.42,861.85,43.69,649.0
150000,内蒙古自治区,2007,,886.68,790.02,34.54,622.0
150000,内蒙古自治区,2006,,830.09,778.64,10.53,597.835529234356
150000,内蒙古自治区,2005,,824.36,795.57,13.26,538.415145309426
