省份编码,省份,年份,供水综合生产能力(万立方米/日),供水管道长度(公里),供水总量(亿吨),生活用供水总量(亿吨),生产用供水总量(亿吨),用水人口(万人),人均日生活用水量(升)
110000,北京市,2019,1942.56,20384.12,15.767191,11.363534,1.729257,1847.48,168.515869525049
110000,北京市,2018,3198.87,28242.96,19.198142,13.498571,2.469563,1863.4,198.700240097274
110000,北京市,2017,2178.74,27490.64,18.827757,12.87798,2.680616,1876.6,188.01
110000,北京市,2016,2452.45,27927.46,19.137083,13.195394,2.821469,2088.45,173.1
110000,北京市,2015,2496.71,27622.83,18.251727,12.597881,2.793459,1877.7,183.81
110000,北京市,2014,2439.77,27285.89,18.241879,12.723917,2.74722,1859.0,187.52
110000,北京市,2013,2554.53,32580.94,18.747723,13.113363,2.780638,1825.1,196.85
110000,北京市,2012,1644.19,23674.1,15.964561,11.184378,2.231709,1783.7,171.79
110000,北京市,2011,1588.27,26453.13,15.836355,10.967575,2.33633,1740.7,172.62
110000,北京市,2010,1604.1,25146.61,15.55568,10.76352,2.90686,1685.9,174.92
110000,北京市,2009,1572.86,23959.11,15.181543,10.45705,3.037873,1491.8,192.05
110000,北京市,2008,1591.44,23828.31,14.250899,9.834088,2.622782,1439.1,187.22
110000,北京市,2007,1686.9,21998.0,14.262556,9.652736,3.01888,1585.48,166.800287955663
110000,北京市,2006,2635.2,26434.0,14.2644,9.2834,3.5714,1644.39,154.67
110000,北京市,2005,1065.71,18175.1,14.4757,9.2353,3.6265,1654.7,152.911052038568
110000,北京市,2004,1504.3,17017.6,15.0206,9.8252,3.8361,1187.0,226.776378806938
110000,北京市,2003,,,,,,,
110000,北京市,2002,,,,,,,
110000,北京市,2001,,,,,,,
110000,北京市,2000,,,,,,,
120000,天津市,2019,476.9,20294.17,9.691102,5.294243,2.908294,1303.82,111.248296102727
120000,天津市,2018,473.9,18557.23,9.23742,4.717831,2.804001,1296.81,100.411431084897
120000,天津市,2017,468.3,18552.83,9.276864,4.510485,2.976707,846.9,145.91
120000,天津市,2016,454.55,18249.43,8.704045,3.910361,3.098886,940.07,113.96
120000,天津市,2015,456.55,16619.57,8.526036,3.820247,3.09831,875.24,119.58
120000,天津市,2014,447.15,14369.1,8.124949,3.569109,3.003628,786.49,124.33
120000,天津市,2013,453.54,13411.0,7.863071,3.447903,3.079444,663.66,142.34
120000,天津市,2012,439.54,12926.2,7.721764,3.24563,3.054863,649.41,134.12
120000,天津市,2011,429.44,11905.72,7.448257,2.952518,3.149707,615.43,128.8
120000,天津市,2010,405.18,10744.01,6.896982,2.965468,2.990435,615.29,132.04
120000,天津市,2009,393.86,8847.35,7.013804,2.951262,3.041691,607.26,133.15
