省份编码,省份,年份,外商投资企业进出口总额(千美元),外商投资企业出口总额(千美元),外商投资企业进口总额(千美元)
110000,北京市,2019,74183077.586,16173418.369,58009659.217
110000,北京市,2018,72570560.564,15061900.101,57508660.463
110000,北京市,2017,65879775.46,12374115.668,53505659.792
110000,北京市,2016,64379739.198,12333308.225,52046430.973
110000,北京市,2015,65161798.3,14754114.4,50407683.9
110000,北京市,2014,79357855.827,20740645.372,58617210.455
110000,北京市,2013,74539997.0,22667580.0,51872417.0
110000,北京市,2012,74479128.0,21347135.0,53131993.0
110000,北京市,2011,76797561.04,21645258.435,55152302.605
110000,北京市,2010,69829281.963,22152202.722,47677079.241
110000,北京市,2009,53341480.0,20089990.0,33251490.0
110000,北京市,2008,56800197.535,23055871.903,33744325.632
110000,北京市,2007,49522399.181,21702564.44,27819834.741
110000,北京市,2006,38951765.0,16645492.0,22306273.0
110000,北京市,2005,,,
110000,北京市,2004,,,
110000,北京市,2003,,,
110000,北京市,2002,,,
110000,北京市,2001,,,
110000,北京市,2000,7768470.0,2871080.0,4897390.0
120000,天津市,2019,53378938.846,21299702.987,32079235.859
120000,天津市,2018,59464244.573,25223010.507,34241234.066
120000,天津市,2017,59909326.584,27158559.543,32750767.041
120000,天津市,2016,56485700.348,26558354.797,29927345.551
120000,天津市,2015,67235178.7,32128140.9,35107037.8
120000,天津市,2014,77403287.347,33678026.666,43725260.681
120000,天津市,2013,80145149.0,32820075.0,47325074.0
120000,天津市,2012,77434523.0,32813852.0,44620671.0
120000,天津市,2011,71132637.661,30852433.695,40280203.966
120000,天津市,2010,58808981.932,26437846.848,32371135.084
120000,天津市,2009,44880510.0,21661050.0,23219460.0
120000,天津市,2008,57223660.752,28894701.452,28328959.3
120000,天津市,2007,54123765.593,28227844.566,25895921.027
120000,天津市,2006,52663254.0,26804641.0,25858613.0
120000,天津市,2005,,,
120000,天津市,2004,,,
120000,天津市,2003,,,
120000,天津市,2002,,,
120000,天津市,2001,,,
120000,天津市,2000,13692890.0,6379250.0,7313640.0
130000,河北省,2019,8592567.472,4672219.565,3920347.907
130000,河北省,2018,9920028.787,5617604.056,4302424.731
130000,河北省,2017,10569832.321,5652477.752,4917354.569
130000,河北省,2016,11178489.038,6054482.335,5124006.703
130000,河北省,2015,13983616.4,7689247.9,6294368.5
130000,河北省,2014,16433980.569,8937423.432,7496557.137
130000,河北省,2013,15984259.0,8463390.0,7520869.0
130000,河北省,2012,17751815.0,9420784.0,8331031.0
130000,河北省,2011,20222037.847,10172188.518,10049849.329
130000,河北省,2010,17509143.759,9215788.621,8293355.138
130000,河北省,2009,13435580.0,6575710.0,6859870.0
130000,河北省,2008,16713316.591,9750286.263,6963030.328
130000,河北省,2007,10485059.744,6553079.588,3931980.156
130000,河北省,2006,6982350.0,4508608.0,2473742.0
130000,河北省,2005,,,
130000,河北省,2004,,,
130000,河北省,2003,,,
130000,河北省,2002,,,
130000,河北省,2001,,,
130000,河北省,2000,1581470.0,1012400.0,569070.0
140000,山西省,2019,11925125.736,7292896.451,4632229.285
140000,山西省,2018,12221364.545,7713629.521,4507735.024
140000,山西省,2017,10172836.503,6159771.838,4013064.665
140000,山西省,2016,10243769.406,6509348.761,3734420.645
140000,山西省,2015,7606520.8,4420445.7,3186075.1
140000,山西省,2014,6911594.325,4195157.082,2716437.243
140000,山西省,2013,5420647.0,3604333.0,1816314.0
140000,山西省,2012,4432954.0,2214977.0,2217976.0
140000,山西省,2011,2645019.066,907811.776,1737207.29
140000,山西省,2010,2205702.643,879929.375,1325773.268
140000,山西省,2009,1631500.0,691430.0,940070.0
140000,山西省,2008,2213032.255,1276182.546,936849.709
140000,山西省,2007,1479902.326,898670.257,581232.069
140000,山西省,2006,1120641.0,667722.0,452919.0
140000,山西省,2005,,,
140000,山西省,2004,,,
140000,山西省,2003,,,
140000,山西省,2002,,,
140000,山西省,2001,,,
140000,山西省,2000,418760.0,152090.0,266670.0
150000,内蒙古自治区,2019,951184.611,458025.854,493158.757
150000,内蒙古自治区,2018,1104350.057,651476.482,452873.575
150000,内蒙古自治区,2017,1045940.821,508976.846,536963.975
150000,内蒙古自治区,2016,1004833.686,491035.261,513798.425
150000,内蒙古自治区,2015,1318439.0,701229.9,617209.1
150000,内蒙古自治区,2014,1631369.812,854099.56,777270.252
150000,内蒙古自治区,2013,1627001.0,776360.0,850641.0
150000,内蒙古自治区,2012,1750051.0,876966.0,873085.0
150000,内蒙古自治区,2011,2462656.461,1435893.73,1026762.731
150000,内蒙古自治区,2010,1610627.674,959738.717,650888.957
150000,内蒙古自治区,2009,1086940.0,523170.0,563770.0
150000,内蒙古自治区,2008,1493351.907,904699.864,588652.043
150000,内蒙古自治区,2007,791361.867,471018.444,320343.423
150000,内蒙古自治区,2006,675555.0,399766.0,275789.0
150000,内蒙古自治区,2005,,,
150000,内蒙古自治区,2004,,,
150000,内蒙古自治区,2003,,,
150000,内蒙古自治区,2002,,,
150000,内蒙古自治区,2001,,,
150000,内蒙古自治区,2000,181570.0,137990.0,43580.0
210000,辽宁省,2019,43758089.736,20027471.294,23730618.442
210000,辽宁省,2018,49714244.285,20574336.809,29139907.476
210000,辽宁省,2017,42507812.471,18478601.862,24029210.609
210000,辽宁省,2016,38754088.463,17920558.891,20833529.572
210000,辽宁省,2015,41335585.8,18730275.8,22605310.0
210000,辽宁省,2014,48578910.546,21730482.676,26848427.87
210000,辽宁省,2013,44990584.0,21921680.0,23068905.0
210000,辽宁省,2012,47037712.0,23506513.0,23531200.0
210000,辽宁省,2011,45987640.295,23220104.55,22767535.745
210000,辽宁省,2010,38991976.951,20639525.172,18352451.779
210000,辽宁省,2009,30768820.0,16401600.0,14367210.0
210000,辽宁省,2008,37092885.045,20265024.414,16827860.631
210000,辽宁省,2007,31310495.177,17659775.898,13650719.279
210000,辽宁省,2006,27229010.0,14996502.0,12232508.0
210000,辽宁省,2005,,,
210000,辽宁省,2004,,,
210000,辽宁省,2003,,,
210000,辽宁省,2002,,,
210000,辽宁省,2001,,,
210000,辽宁省,2000,12296980.0,6244640.0,6052340.0
220000,吉林省,2019,8717403.834,1144996.473,7572407.361
220000,吉林省,2018,10373832.52,1430131.146,8943701.374
220000,吉林省,2017,10013001.229,1291685.077,8721316.152
220000,吉林省,2016,9337770.621,1342400.251,7995370.37
220000,吉林省,2015,9362201.0,1398752.7,7963448.3
220000,吉林省,2014,12348592.757,1544911.373,10803681.384
220000,吉林省,2013,10730223.0,1300313.0,9429909.0
220000,吉林省,2012,11032664.0,1496846.0,9535819.0
220000,吉林省,2011,9193559.139,1446559.971,7746999.168
220000,吉林省,2010,7605021.371,1277534.805,6327486.566
220000,吉林省,2009,5557470.0,1019500.0,4537970.0
220000,吉林省,2008,5716854.454,1343242.221,4373612.233
220000,吉林省,2007,4936516.904,1033417.034,3903099.87
220000,吉林省,2006,3783949.0,858238.0,2925711.0
220000,吉林省,2005,,,
220000,吉林省,2004,,,
220000,吉林省,2003,,,
220000,吉林省,2002,,,
220000,吉林省,2001,,,
220000,吉林省,2000,1122740.0,391970.0,730770.0
230000,黑龙江省,2019,1834599.919,934101.385,900498.534
230000,黑龙江省,2018,2032356.482,1109972.74,922383.742
230000,黑龙江省,2017,2516943.131,1449987.606,1066955.525
230000,黑龙江省,2016,1088953.079,531903.025,557050.054
230000,黑龙江省,2015,1214981.4,643206.9,571774.5
230000,黑龙江省,2014,1330444.586,590705.818,739738.768
230000,黑龙江省,2013,1414920.0,582645.0,832275.0
230000,黑龙江省,2012,1045848.0,559943.0,485904.0
230000,黑龙江省,2011,1136824.837,699321.168,437503.669
230000,黑龙江省,2010,1112521.922,698659.844,413862.078
230000,黑龙江省,2009,783450.0,492960.0,290500.0
230000,黑龙江省,2008,1390048.018,806855.832,583192.186
230000,黑龙江省,2007,1147214.42,695913.44,451300.98
230000,黑龙江省,2006,1041901.0,642304.0,399597.0
230000,黑龙江省,2005,,,
230000,黑龙江省,2004,,,
230000,黑龙江省,2003,,,
230000,黑龙江省,2002,,,
230000,黑龙江省,2001,,,
230000,黑龙江省,2000,473530.0,266790.0,206740.0
310000,上海市,2019,316694516.491,123670265.388,193024251.103
310000,上海市,2018,332613672.499,134399287.667,198214384.832
310000,上海市,2017,317358055.469,129294574.236,188063481.233
310000,上海市,2016,286260911.635,123598737.899,162662173.736
310000,上海市,2015,300702596.1,131031066.8,169671529.3
310000,上海市,2014,310115137.503,141446213.86,168668923.643
310000,上海市,2013,288560529.0,136739772.0,151820758.0
310000,上海市,2012,289911834.0,138676767.0,151235067.0
310000,上海市,2011,292328788.229,142379935.261,149948852.968
310000,上海市,2010,249918416.187,125932703.633,123985712.554
310000,上海市,2009,186702150.0,97015090.0,89687060.0
310000,上海市,2008,217685205.666,113559354.004,104125851.662
310000,上海市,2007,193135389.384,97747908.275,95387481.109
310000,上海市,2006,153473626.0,75946240.0,77527386.0
310000,上海市,2005,,,
310000,上海市,2004,,,
310000,上海市,2003,,,
310000,上海市,2002,,,
310000,上海市,2001,,,
310000,上海市,2000,33410540.0,14261020.0,19149520.0
320000,江苏省,2019,375373538.532,215692413.988,159681124.544
320000,江苏省,2018,408210442.853,224336510.688,183873932.165
320000,江苏省,2017,376801273.871,211442459.622,165358814.249
320000,江苏省,2016,325958399.106,186537523.004,139420876.102
320000,江苏省,2015,337297684.8,193880532.0,143417152.8
320000,江苏省,2014,349803192.854,198780216.201,151022976.653
