年份,能源生产弹性系数,电力生产弹性系数,能源消费弹性系数,电力消费弹性系数
2019,0.84,0.77,0.54,0.72
2018,0.84,1.27,0.52,1.27
2017,0.54,1.12,0.46,1.12
2016,,0.81,0.25,0.81
2015,,0.04,0.19,0.04
2014,0.14,0.91,0.36,0.91
2013,0.28,1.14,0.47,1.14
2012,0.41,0.73,0.49,0.75
2011,0.94,1.25,0.76,1.26
2010,0.86,1.25,0.69,1.25
2009,0.33,0.76,0.51,0.77
2008,0.52,0.58,0.3,0.58
2007,0.56,1.02,0.61,1.01
2006,0.54,1.15,0.76,1.15
2005,0.97,1.18,1.18,1.18
2004,1.54,1.51,1.66,1.52
2003,1.41,1.55,1.62,1.56
2002,0.66,1.29,0.99,1.3
2001,0.77,1.11,0.7,1.12
2000,0.59,1.11,0.53,1.12
