年份,交通和通信类居民消费价格指数(上年=100),交通类居民消费价格指数(上年=100),交通工具类居民消费价格指数(上年=100),交通工具用燃料类居民消费价格指数(上年=100),交通工具使用和维修类居民消费价格指数(上年=100),交通费类居民消费价格指数(上年=100),通信类居民消费价格指数(上年=100)
2019,98.3,98,98.5,94,102.3,100.4,98.8
2018,101.65905071,103.22924822,98.45738779,112.61251398,102.76255793,101.3,98.80817081
2017,101.1139056,102.18807226,98.46010351,109.84386297,101.83251449,101.23676651,99.2202696
2016,98.7,98.6,98.0,96,101.5,101.2,99.0
2015,,,,,,,
2014,,,,,,,
2013,,,,,,,
2012,,,,,,,
2011,,,,,,,
2010,,,,,,,
2009,,,,,,,
2008,,,,,,,
2007,,,,,,,
2006,,,,,,,
2005,,,,,,,
2004,,,,,,,
2003,,,,,,,
2002,,,,,,,
2001,,,,,,,
2000,,,,,,,
