年份,衣着类居民消费价格指数(上年=100),服装类居民消费价格指数(上年=100),服装材料类居民消费价格指数(上年=100),其他衣着及配件类居民消费价格指数(上年=100),衣着加工服务费类居民消费价格指数(上年=100),鞋类类居民消费价格指数(上年=100)
2019,101.6,101.8,101.7,100.2,104.1,100.9
2018,101.23119943,101.42851137,101.87798601,100.4,104.14359397,100.4
2017,101.25884802,101.27986633,101.52900101,100.6,104.01717495,101.04598702
2016,101.4,101.4,101.3,100.8,104.0,101.4
2015,,,,,,
2014,,,,,,
2013,,,,,,
2012,,,,,,
2011,,,,,,
2010,,,,,,
2009,,,,,,
2008,,,,,,
2007,,,,,,
2006,,,,,,
2005,,,,,,
2004,,,,,,
2003,,,,,,
2002,,,,,,
2001,,,,,,
2000,,,,,,
