年份,教育文化和娱乐类居民消费价格指数(上年=100),教育类居民消费价格指数(上年=100),教育用品类居民消费价格指数(上年=100),教育服务类居民消费价格指数(上年=100),文化娱乐类居民消费价格指数(上年=100),文娱耐用消费品类居民消费价格指数(上年=100),其他文娱用品类居民消费价格指数(上年=100),文化娱乐服务类居民消费价格指数(上年=100),旅游类居民消费价格指数(上年=100)
2019,102.2,103.1,102.8,103.1,101,98.7,102,101,101.8
2018,102.24690869,102.85989993,102.47831132,102.8856659,101.38034005,98.3,101.9,100.8,103.29970219
2017,102.39608272,103.03551666,101.97508579,103.10791547,101.5,99.03701435,101.02711237,100.74738886,103.62536693
2016,101.6,102.4,101.1,102.5,100.4,97.3,100.8,100.9,102.0
2015,,,,,,,,,
2014,,,,,,,,,
2013,,,,,,,,,
2012,,,,,,,,,
2011,,,,,,,,,
2010,,,,,,,,,
2009,,,,,,,,,
2008,,,,,,,,,
2007,,,,,,,,,
2006,,,,,,,,,
2005,,,,,,,,,
2004,,,,,,,,,
2003,,,,,,,,,
2002,,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
