年份,生活用品及服务类居民消费价格指数(上年=100),家具及室内装饰品类居民消费价格指数(上年=100),家用器具类居民消费价格指数(上年=100),家用纺织品类居民消费价格指数(上年=100),家庭日用杂品类居民消费价格指数(上年=100),个人护理用品类居民消费价格指数(上年=100),家庭服务类居民消费价格指数(上年=100)
2019,100.9,100.9,99.4,100.5,100.9,101.1,104.8
2018,101.5527606,102.3,100.5,100.7,101.39741752,101.0,105.6296624
2017,101.08657437,101.96068129,100.36127752,100.30600493,100.51233272,101.06388392,104.19877788
2016,100.5,100.7,98.8,100.2,100.5,101.0,104.4
2015,,,,,,,
2014,,,,,,,
2013,,,,,,,
2012,,,,,,,
2011,,,,,,,
2010,,,,,,,
2009,,,,,,,
2008,,,,,,,
2007,,,,,,,
2006,,,,,,,
2005,,,,,,,
2004,,,,,,,
2003,,,,,,,
2002,,,,,,,
2001,,,,,,,
2000,,,,,,,
