年份,食品烟酒类居民消费价格指数(上年=100),食品类居民消费价格指数(上年=100),粮食类居民消费价格指数(上年=100),薯类类居民消费价格指数(上年=100),豆类类居民消费价格指数(上年=100),食用油类居民消费价格指数(上年=100),菜类居民消费价格指数(上年=100),鲜菜类居民消费价格指数(上年=100),畜肉类类居民消费价格指数(上年=100),禽肉类类居民消费价格指数(上年=100),水产品类居民消费价格指数(上年=100),蛋类类居民消费价格指数(上年=100),奶类类居民消费价格指数(上年=100),干鲜瓜果类类居民消费价格指数(上年=100),鲜瓜果类居民消费价格指数(上年=100),糖果糕点类类居民消费价格指数(上年=100),调味品类居民消费价格指数(上年=100),其他食品类类居民消费价格指数(上年=100),茶及饮料类居民消费价格指数(上年=100),烟酒类居民消费价格指数(上年=100),在外餐饮类居民消费价格指数(上年=100)
2019,107,109.2,100.5,102.5,101.7,101.3,103.9,104.1,129.1,110,100.3,105.1,101.6,109.8,112.3,100.7,101.2,101.4,101.5,101.2,103.3
2018,101.9,101.75925573,100.76997956,107.1,100.9,99.19836068,106.60641344,107.13811453,96.2,105.5,102.27704224,111.98459957,101.4,104.08346717,105.58259064,102.0,101.9,101.3,101.7,101.22139841,102.41719584
2017,99.6,98.6,101.5,96.2,100.7,99.8,92.7,91.9,95.0,99.5,104.4,96.0,100.1,102.7,103.8,102.1,102.6,100.2,101.2,100.76339636,102.22314262
2016,103.8,104.6,100.5,111.4,100.9,101.7,110.9,111.7,111.0,101.5,104.6,96.8,99.9,98.2,97.4,101.0,102.1,101.5,100.4,101.5,102.6
2015,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
