年份,工业生产者出厂价格指数(上年=100),煤炭开采和洗选业工业生产者出厂价格指数(上年=100),石油和天然气开采业工业生产者出厂价格指数(上年=100),黑色金属矿采选业工业生产者出厂价格指数(上年=100),有色金属矿采选业工业生产者出厂价格指数(上年=100),非金属矿采选业工业生产者出厂价格指数(上年=100),开采辅助活动工业生产者出厂价格指数(上年=100),其他采矿业工业生产者出厂价格指数(上年=100),农副食品加工业工业生产者出厂价格指数(上年=100),食品制造业工业生产者出厂价格指数(上年=100),酒、饮料和精制茶制造业工业生产者出厂价格指数(上年=100),烟草制品业工业生产者出厂价格指数(上年=100),纺织业工业生产者出厂价格指数(上年=100),纺织服装、服饰业工业生产者出厂价格指数(上年=100),皮革、毛皮、羽毛及其制品和制鞋业工业生产者出厂价格指数(上年=100),木材加工和木、竹、藤、棕、草制品业工业生产者出厂价格指数(上年=100),家具制造业工业生产者出厂价格指数(上年=100),造纸和纸制品业工业生产者出厂价格指数(上年=100),印刷和记录媒介复制业工业生产者出厂价格指数(上年=100),文教、工美、体育和娱乐用品制造业工业生产者出厂价格指数(上年=100),石油加工、炼焦和核燃料加工业工业生产者出厂价格指数(上年=100),化学原料和化学制品制造业工业生产者出厂价格指数(上年=100),医药制造业工业生产者出厂价格指数(上年=100),化学纤维制造业工业生产者出厂价格指数(上年=100),橡胶和塑料制品业工业生产者出厂价格指数(上年=100),非金属矿物制品业工业生产者出厂价格指数(上年=100),黑色金属冶炼和压延加工业工业生产者出厂价格指数(上年=100),有色金属冶炼和压延加工业工业生产者出厂价格指数(上年=100),金属制品业工业生产者出厂价格指数(上年=100),通用设备制造业工业生产者出厂价格指数(上年=100),专用设备制造业工业生产者出厂价格指数(上年=100),汽车制造业工业生产者出厂价格指数(上年=100),铁路、船舶、航空航天和其他运输设备制造业工业生产者出厂价格指数(上年=100),电气机械和器材制造业工业生产者出厂价格指数(上年=100),计算机、通信和其他电子设备制造业工业生产者出厂价格指数(上年=100),仪器仪表制造业工业生产者出厂价格指数(上年=100),其他制造业工业生产者出厂价格指数(上年=100),废弃资源综合利用业工业生产者出厂价格指数(上年=100),金属制品、机械和设备修理业工业生产者出厂价格指数(上年=100),电力、热力生产和供应业工业生产者出厂价格指数(上年=100),燃气生产和供应业工业生产者出厂价格指数(上年=100),水的生产和供应业工业生产者出厂价格指数(上年=100)
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
