年份,城市传染病(不含呼吸道结核)粗死亡率位次,城市呼吸道结核粗死亡率位次,城市寄生虫病粗死亡率位次,城市恶性肿瘤粗死亡率位次,"城市血液,造血器官及免疫疾病粗死亡率位次","城市内分泌,营养和代谢疾病粗死亡率位次",城市精神障碍粗死亡率位次,城市神经系统疾病粗死亡率位次,城市心脏病粗死亡率位次,城市脑血管病粗死亡率位次,城市呼吸系统疾病粗死亡率位次,城市消化系统疾病粗死亡率位次,城市肌肉骨骼和结缔组织疾病粗死亡率位次,城市泌尿生殖系统疾病粗死亡率位次,"城市妊娠,分娩产褥期并发症粗死亡率位次",城市围生期疾病粗死亡率位次,"城市先天畸形,变形和染色体异常粗死亡率位次",城市诊断不明粗死亡率位次,城市其他疾病粗死亡率位次,城市损伤和中毒外部原因粗死亡率位次,城市男性传染病(不含呼吸道结核)粗死亡率位次,城市男性呼吸道结核粗死亡率位次,城市男性寄生虫病粗死亡率位次,城市男性恶性肿瘤粗死亡率位次,"城市男性血液,造血器官及免疫疾病粗死亡率位次","城市男性内分泌,营养和代谢疾病粗死亡率位次",城市男性精神障碍粗死亡率位次,城市男性神经系统疾病粗死亡率位次,城市男性心脏病粗死亡率位次,城市男性脑血管病粗死亡率位次,城市男性呼吸系统疾病粗死亡率位次,城市男性消化系统疾病粗死亡率位次,城市男性肌肉骨骼和结缔组织疾病粗死亡率位次,城市男性泌尿生殖系统疾病粗死亡率位次,城市男性围生期疾病粗死亡率位次,"城市男性先天畸形,变形和染色体异常粗死亡率位次",城市男性诊断不明粗死亡率位次,城市男性其他疾病粗死亡率位次,城市男性损伤和中毒外部原因粗死亡率位次,城市女性传染病(不含呼吸道结核)粗死亡率位次,城市女性呼吸道结核粗死亡率位次,城市女性寄生虫病粗死亡率位次,城市女性恶性肿瘤粗死亡率位次,"城市女性血液,造血器官及免疫疾病粗死亡率位次","城市女性内分泌,营养和代谢疾病粗死亡率位次",城市女性精神障碍粗死亡率位次,城市女性神经系统疾病粗死亡率位次,城市女性心脏病粗死亡率位次,城市女性脑血管病粗死亡率位次,城市女性呼吸系统疾病粗死亡率位次,城市女性消化系统疾病粗死亡率位次,城市女性肌肉骨骼和结缔组织疾病粗死亡率位次,城市女性泌尿生殖系统疾病粗死亡率位次,"城市女性妊娠,分娩产褥期并发症粗死亡率位次",城市女性围生期疾病粗死亡率位次,"城市女性先天畸形,变形和染色体异常粗死亡率位次",城市女性诊断不明粗死亡率位次,城市女性其他疾病粗死亡率位次,城市女性损伤和中毒外部原因粗死亡率位次
2019,,,16,1,13,6,11,8,2,3,4,7,12,9,17,15,14,,,5,,,16,1,13,6,11,8,2,3,4,7,12,10,13,15,,,5,,,17,2,13,6,11,8,1,3,4,7,12,9,16,15,14,,,5
2018,10.0,,17,1,13,6,11,8,2,3,4,7,12,9,16,15,14,,,5,9.0,,16,1,15,6,11,8,2,3,4,7,12,10,13,14,,,5,10.0,,17,2,13,6,11,8,1,3,4,7,12,9,16,15,14,,,5
2017,10.0,,17,1,15,6,11,8,2,3,4,7,12,9,16,13,14,,,5,8.0,,16,1,15,6,11,9,2,3,4,7,13,10,12,14,,,5,10.0,,17,2,15,6,12,8,1,3,4,7,11,9,16,14,13,,,5
2016,,,17,1,15,6,11,8,2,3,4,7,12,9,16,13,14,,,5,,,16,1,15,6,11,9,2,3,4,7,13,10,12,14,,,5,,,17,2,15,6,11,8,1,3,4,7,12,9,16,13,14,,,5
2015,9.0,,17,1,15,6,11,8,2,3,4,7,12,10,16,14,13,,,5,8.0,,16,1,15,6,11,10,3,2,4,7,14,9,12,13,,,5,10.0,,17,2,15,6,11,8,1,3,4,7,12,9,16,14,13,,,5
2014,10.0,,17,1,15,6,11,8,2,3,4,4,14,9,16,12,13,,,5,8.0,,16,1,14,7,11,10,2,3,4,6,15,9,12,13,,,5,10.0,,17,2,15,6,11,8,1,3,4,7,12,9,16,13,14,,,5
2013,8.0,,17,1,15,6,11,9,2,3,4,7,14,10,16,12,13,,,5,8.0,,16,1,14,7,11,9,3,2,4,6,15,10,12,13,,,5,10.0,,17,2,15,6,11,8,1,3,4,7,12,9,16,14,13,,,5
2012,11.0,14.0,19,1,18,7,13,9,2,3,4,8,17,10,20,15,16,12.0,6.0,5,11.0,13.0,19,1,17,8,16,9,2,3,4,7,18,10,14,15,12.0,6.0,5,11.0,18.0,20,2,17,7,12,9,1,3,4,8,13,10,19,16,15,14.0,5.0,6
2011,11.0,14.0,19,1,18,6,13,9,2,3,4,7,17,10,20,15,16,12.0,8.0,5,11.0,13.0,19,1,17,7,14,8,2,3,4,6,18,10,15,16,12.0,9.0,5,13.0,18.0,19,1,17,6,11,9,2,3,4,7,14,10,20,16,15,12.0,8.0,5
2010,11.0,14.0,18,1,17,6,13,10,2,3,4,7,16,9,18,15,15,12.0,8.0,5,11.0,13.0,19,1,17,7,14,10,3,2,4,6,18,8,15,16,12.0,9.0,5,12.0,18.0,20,2,17,6,13,10,1,3,4,7,14,9,19,16,15,11.0,8.0,5
