省份编码,省份,年份,单位地区生产总值能耗(等价值)(吨标准煤/万元),单位地区生产总值能耗(等价值)_同比增长(%),单位工业增加值能耗(规模以上当量值)(吨标准煤/万元),单位工业增加值能耗(规模以上当量值)_同比增长(%),单位地区生产总值电耗(等价值)(千瓦小时/万元),单位地区生产总值电耗(等价值)_同比增长(%)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,,,,,,
110000,北京市,2016,,,,,,
110000,北京市,2015,,-6.17,,-8.16,,-4.87
110000,北京市,2014,,,,,,
110000,北京市,2013,,,,,,
110000,北京市,2012,,,,,,
110000,北京市,2011,0.459,-6.94,,-18.5,,-6.1
110000,北京市,2010,0.582,,,,,
110000,北京市,2009,0.606,-5.76,0.909,-12.3,681.85,-2.74
110000,北京市,2008,0.662,-7.36,1.037,-12.68,719.61,-5.1
110000,北京市,2007,0.714481613449117,-6.04410808716038,1.1876,-10.81,758.253312340493,-3.65760573464587
110000,北京市,2006,0.76,-5.25,1.33,-10.06,787.0,-5.01
110000,北京市,2005,0.801872486344771,,1.5,,828.508156037123,
110000,北京市,2004,,,,,,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,,,,,,
120000,天津市,2016,,,,,,
120000,天津市,2015,,-7.21,,-13.25,,-7.77
120000,天津市,2014,,,,,,
120000,天津市,2013,,,,,,
120000,天津市,2012,,,,,,
120000,天津市,2011,0.708,-4.28,,-7.48,,-7.48
120000,天津市,2010,0.826,,,,,
120000,天津市,2009,0.836,-6.03,0.911,-13.54,782.88,-8.49
120000,天津市,2008,0.947,-6.85,1.053,-13.85,910.42,-10.49
120000,天津市,2007,1.01619899335624,-4.903,1.2215,-8.33,1017.14810087819,-0.674390853297768
120000,天津市,2006,1.069,-3.98,1.33,-7.99,1024.1,-1.61
120000,天津市,2005,1.11292919769506,,1.44758144094102,,1040.79002168963,
120000,天津市,2004,,,,,,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,,,,,,
130000,河北省,2016,,,,,,
130000,河北省,2015,,-6.14,,-6.02,,-10.28
130000,河北省,2014,,,,,,
130000,河北省,2013,,,,,,
130000,河北省,2012,,,,,,
130000,河北省,2011,1.3,-3.69,,-6.68,,-0.36
130000,河北省,2010,1.583,,,,,
130000,河北省,2009,1.64,-5.02,2.999,-9.54,1449.94,-2.52
130000,河北省,2008,1.727,-6.29,3.315,-14.33,1492.81,-5.5
130000,河北省,2007,1.84282147212868,-4.02,3.8695,-7.1,1579.76375024712,2.86
130000,河北省,2006,1.895,-3.09,4.19,-5.59,1515.9,1.9
130000,河北省,2005,1.96,,4.41179299481682,,1487.6264224538,
130000,河北省,2004,,,,,,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,,,,,,
140000,山西省,2018,,,,,,
140000,山西省,2017,,,,,,
140000,山西省,2016,,,,,,
140000,山西省,2015,,-5.31,,-7.48,,-7.52
140000,山西省,2014,,,,,,
