省份编码,省份,年份,国有经济能源工业固定资产投资(亿元),国有经济煤炭采选业固定资产投资(亿元),国有经济石油和天然气开采业固定资产投资(亿元),国有经济电力、蒸汽、热水生产和供应业固定资产投资(亿元),国有经济石油加工及炼焦业固定资产投资(亿元),国有经济煤气生产和供应业固定资产投资(亿元)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,333,,,306,0.43,26.63
110000,北京市,2016,182.2637,,,155.4899,1.0045,25.7693
110000,北京市,2015,140,,,135,0.99,3.18
110000,北京市,2014,167.9438,1.0423,0.6106,162.4703,1.1492,2.6714
110000,北京市,2013,121.4007,1.3893,1.1075,96.4665,11.2752,11.1622
110000,北京市,2012,88.5578,,,78.3036,8.3502,1.904
110000,北京市,2011,88,0.33,0.14,74,6.61,7.24
110000,北京市,2010,93.8936,1.1537,,82.1948,5.8141,4.731
110000,北京市,2009,125.0471,0.9966,,113.3994,8.5725,2.0786
110000,北京市,2008,124.1501,0.7143,18.1562,100.8253,4.4543,
110000,北京市,2007,133.3081,0.6565,,125.8657,6.7859,
110000,北京市,2006,90.6561,0.2102,0.0273,64.765,15.0807,10.5729
110000,北京市,2005,99.8253,0.0123,0.0271,76.3892,12.3662,11.0305
110000,北京市,2004,52.981,,0.0639,42.4721,3.8845,6.5605
110000,北京市,2003,32.408,,,19.6477,1.377,11.38
110000,北京市,2002,49.23,0.12,,33.77,1.63,13.71
110000,北京市,2001,39.67,0.22,,25.7,2.42,11.32
110000,北京市,2000,54.14,0.21,,35.85,5.59,12.5
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,153,,2.93,123,8.67,18.1
120000,天津市,2016,173.2675,,1.8791,135.8773,9.1351,26.376
120000,天津市,2015,224,,34.68,158,5.68,24.75
120000,天津市,2014,163.7542,,,116.326,16.4186,31.0096
120000,天津市,2013,173.8514,,8.2239,120.5071,7.322,37.7984
120000,天津市,2012,194.2873,,1.4,167.2377,7.8367,17.8129
120000,天津市,2011,241,,66.51,154,5.1,15.29
120000,天津市,2010,235.4608,,62.3045,129.5696,29.7065,13.8802
120000,天津市,2009,297.1766,,28.1752,154.5213,103.5523,10.9278
120000,天津市,2008,273.0634,,29.2201,124.6764,112.5852,6.5817
120000,天津市,2007,175.1949,,28.2576,105.8483,35.3665,5.7225
120000,天津市,2006,103.8474,,30.5967,59.7469,11.0008,2.503
120000,天津市,2005,46.7563,,9.0308,28.1511,6.9426,2.6318
120000,天津市,2004,41.9503,,22.8759,16.4301,,2.6443
120000,天津市,2003,48.407,,19.7583,25.4834,0.15,3.02
120000,天津市,2002,36.86,,8.18,26.05,0.07,2.57
120000,天津市,2001,24.57,,6.79,13.22,2.1,2.45
120000,天津市,2000,30.67,,4.11,21.18,1.48,3.9
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,550,5.71,,458,34.55,51.3
130000,河北省,2016,566.5377,7.4325,0.497,502.2981,33.034,23.2761
130000,河北省,2015,584,19.05,,516,11.59,36.52
130000,河北省,2014,462.782,30.3838,,408.1569,7.9156,16.3257
130000,河北省,2013,463.5314,28.7881,0.1,368.0255,34.2475,32.3703
130000,河北省,2012,400.2905,40.9564,0.9,343.3473,2.782,12.3048
130000,河北省,2011,426,52.5,3.95,357,6.3,6.18
