省份编码,省份,年份,蒸汽供热能力(吨/小时),热水供热能力(兆瓦)
110000,北京市,2019,,45730.69
110000,北京市,2018,,87982.0
110000,北京市,2017,,123814.0
110000,北京市,2016,300,42951.0
110000,北京市,2015,300,41451.0
110000,北京市,2014,300,40445.0
110000,北京市,2013,300,38585.0
110000,北京市,2012,450,38298.0
110000,北京市,2011,450,36805.0
110000,北京市,2010,450,35684.0
110000,北京市,2009,200,32674.0
110000,北京市,2008,200,31772.0
110000,北京市,2007,620,28989.0
110000,北京市,2006,620,30546.0
110000,北京市,2005,2297,30115.0
110000,北京市,2004,1384,23706.0
110000,北京市,2003,3816,22646.0
110000,北京市,2002,2915,18008.0
110000,北京市,2001,3408,14439.0
110000,北京市,2000,3408,4755.0
120000,天津市,2019,2445,30404.02
120000,天津市,2018,2445,29255.94
120000,天津市,2017,2696,28654.0
120000,天津市,2016,3348,26312.11
120000,天津市,2015,3568,24261.05
120000,天津市,2014,3769,22595.98
120000,天津市,2013,3717,21572.24
120000,天津市,2012,3463,21062.78
120000,天津市,2011,3025,19325.0
120000,天津市,2010,3167,18055.0
120000,天津市,2009,3579,16158.0
120000,天津市,2008,3469,16011.0
120000,天津市,2007,3620,13866.0
120000,天津市,2006,3325,11753.0
120000,天津市,2005,3294,10563.0
120000,天津市,2004,3407,10111.0
120000,天津市,2003,3234,9390.0
120000,天津市,2002,2293,7256.0
120000,天津市,2001,2391,6904.0
120000,天津市,2000,9106,5608.0
130000,河北省,2019,4810,45490.65
130000,河北省,2018,5141.92,46799.2
130000,河北省,2017,8268,39839.0
130000,河北省,2016,7943.59,35555.92
130000,河北省,2015,7538.95,32035.2
130000,河北省,2014,7141.95,29554.37
130000,河北省,2013,6974.95,27441.17
130000,河北省,2012,9243.95,26129.17
130000,河北省,2011,10357,24535.0
130000,河北省,2010,11570,23177.0
130000,河北省,2009,10979,22247.0
130000,河北省,2008,10594,17787.0
130000,河北省,2007,10117,16536.0
130000,河北省,2006,9132,15219.0
130000,河北省,2005,9290,13917.0
130000,河北省,2004,8140,12866.0
130000,河北省,2003,6881,11218.0
130000,河北省,2002,6578,10149.0
130000,河北省,2001,6448,10085.0
130000,河北省,2000,6427,8388.0
140000,山西省,2019,16374,25765.89
140000,山西省,2018,4434,32941.0
140000,山西省,2017,3920,31035.0
140000,山西省,2016,1262,27388.79
140000,山西省,2015,1385,30990.98
140000,山西省,2014,1225,26411.63
140000,山西省,2013,1291,23068.33
140000,山西省,2012,2639,20705.54
140000,山西省,2011,2802,18210.0
140000,山西省,2010,2674,17405.0
140000,山西省,2009,2215,12999.0
140000,山西省,2008,2190,12677.0
140000,山西省,2007,1452,8265.0
140000,山西省,2006,3570,9421.0
140000,山西省,2005,3133,8578.0
140000,山西省,2004,2799,6627.0
140000,山西省,2003,3397,5642.0
140000,山西省,2002,3482,6008.0
140000,山西省,2001,2852,6129.0
140000,山西省,2000,3316,5347.0
150000,内蒙古自治区,2019,2451,47395.3
150000,内蒙古自治区,2018,1823.5,46267.2
150000,内蒙古自治区,2017,2769,42776.0
150000,内蒙古自治区,2016,341.7,41987.81
150000,内蒙古自治区,2015,341.1,45683.0
150000,内蒙古自治区,2014,341.7,37999.93
150000,内蒙古自治区,2013,767,33729.38
150000,内蒙古自治区,2012,1135,29488.88
150000,内蒙古自治区,2011,1182,28560.0
150000,内蒙古自治区,2010,662,25850.0
150000,内蒙古自治区,2009,214,21364.0
150000,内蒙古自治区,2008,998,19210.0
150000,内蒙古自治区,2007,1024,16042.0
150000,内蒙古自治区,2006,277,13328.0
150000,内蒙古自治区,2005,844,10887.0
150000,内蒙古自治区,2004,844,10160.0
150000,内蒙古自治区,2003,874,9536.0
150000,内蒙古自治区,2002,1274,8065.0
150000,内蒙古自治区,2001,1200,6842.0
150000,内蒙古自治区,2000,1200,5687.0
210000,辽宁省,2019,16092,66779.61
210000,辽宁省,2018,18456,69692.22
210000,辽宁省,2017,17536,68876.0
210000,辽宁省,2016,12914.64,74372.67
210000,辽宁省,2015,12932.89,71834.34
210000,辽宁省,2014,12775.89,69157.64
210000,辽宁省,2013,12787.14,68631.03
210000,辽宁省,2012,13038.14,62825.62
210000,辽宁省,2011,11544,59855.0
210000,辽宁省,2010,13186,55770.0
210000,辽宁省,2009,12013,51183.0
210000,辽宁省,2008,11612,46395.0
210000,辽宁省,2007,11718,39717.0
210000,辽宁省,2006,10967,43765.0
210000,辽宁省,2005,12583,36051.0
210000,辽宁省,2004,11844,30488.0
210000,辽宁省,2003,10975,30874.0
210000,辽宁省,2002,10911,29269.0
210000,辽宁省,2001,11275,20564.0
210000,辽宁省,2000,11569,19154.0
220000,吉林省,2019,1767,46150.9
220000,吉林省,2018,2110,45106.91
220000,吉林省,2017,1960,43276.0
220000,吉林省,2016,1453,42991.9
220000,吉林省,2015,1402.5,42759.53
220000,吉林省,2014,1597.5,41997.55
220000,吉林省,2013,1536,40575.83
220000,吉林省,2012,1537,36536.32
220000,吉林省,2011,3494,30988.0
220000,吉林省,2010,5208,29145.0
220000,吉林省,2009,2882,26147.0
220000,吉林省,2008,3288,23238.0
220000,吉林省,2007,3587,20985.0
220000,吉林省,2006,4515,20143.0
220000,吉林省,2005,4749,18925.0
220000,吉林省,2004,5763,18330.0
220000,吉林省,2003,4450,17478.0
220000,吉林省,2002,3324,12640.0
220000,吉林省,2001,3327,12259.0
220000,吉林省,2000,3425,10564.0
230000,黑龙江省,2019,4516,52673.91
230000,黑龙江省,2018,4550,52234.21
230000,黑龙江省,2017,6003,50157.0
230000,黑龙江省,2016,4948.75,47511.48
230000,黑龙江省,2015,4573.75,46602.28
230000,黑龙江省,2014,4873.75,44550.8
230000,黑龙江省,2013,4873.75,42296.38
230000,黑龙江省,2012,4789,38743.11
230000,黑龙江省,2011,4951,41000.0
230000,黑龙江省,2010,4411,32052.0
230000,黑龙江省,2009,4199,30420.0
230000,黑龙江省,2008,4248,27499.0
230000,黑龙江省,2007,4323,26143.0
230000,黑龙江省,2006,4365,23805.0
230000,黑龙江省,2005,5937,23952.0
230000,黑龙江省,2004,5690,22646.0
230000,黑龙江省,2003,5993,20493.0
230000,黑龙江省,2002,5590,18677.0
230000,黑龙江省,2001,6213,19363.0
230000,黑龙江省,2000,4513,13750.0
310000,上海市,2019,,
310000,上海市,2018,,
310000,上海市,2017,,
310000,上海市,2016,,
310000,上海市,2015,,
310000,上海市,2014,,
310000,上海市,2013,,
310000,上海市,2012,,
310000,上海市,2011,,
310000,上海市,2010,,
310000,上海市,2009,,
310000,上海市,2008,,
310000,上海市,2007,,
310000,上海市,2006,,
310000,上海市,2005,,
310000,上海市,2004,,
310000,上海市,2003,,
310000,上海市,2002,,
310000,上海市,2001,,
310000,上海市,2000,,
320000,江苏省,2019,,2.0
320000,江苏省,2018,,
320000,江苏省,2017,,
320000,江苏省,2016,,
320000,江苏省,2015,,
