省份编码,省份,年份,煤炭消费量(万吨),焦炭消费量(万吨),原油消费量(万吨),汽油消费量(万吨),煤油消费量(万吨),柴油消费量(万吨),燃料油消费量(万吨),天然气消费量(亿立方米),电力消费量(亿千瓦小时)
110000,北京市,2019,,,,,,,,,1166.396372
110000,北京市,2018,,,,,,,,,1142.38093
110000,北京市,2017,490.46,0.18,892.54,489.85,644,175.11,2.81,164.56,1066.8902
110000,北京市,2016,847.62,0.21,821.0,470.37,594.27,172.69,4.64,162.31,1020.2706
110000,北京市,2015,1165.18,0.44,991.54,462.75,544.38,182.35,4.91,146.88,952.7169
110000,北京市,2014,1736.543192,0.639552,1034.615,440.6166,507.578,196.4625,5.632789,113.703945312,937.05
110000,北京市,2013,2019.225726,0.792355,870.916761,423.60907,477.05922,193.896538,8.296892,98.813421162,913.1
110000,北京市,2012,2270.0,32.265687,1075.7675,415.899092,443.332905,215.824592,78.162165,92.06659102,874.3
110000,北京市,2011,2366.0,33.28,1105.08,389.79,419.88,241.12,74.64,73.56,821.7054
110000,北京市,2010,2634.6175,220.4457,1116.2873,371.52915,392.6295,237.4201,66.6855,74.785321,809.9
110000,北京市,2009,2664.698755,211.973409,1162.93,363.609632,341.934915,240.175683,42.395457,69.4018174548,739.1465
110000,北京市,2008,2747.729461,232.87,1116.76,340.92046,318.39,227.22373,25.62,60.65,689.7189
110000,北京市,2007,2984.6664,358.19,950.91,324.72,277.1,192.02,42.85,46.64,667.01
110000,北京市,2006,3055.67,348.62,796.12,278.16,233.86,177.49,48.05,40.65,611.5719
110000,北京市,2005,3068.97,397.4,799.6,235.23,189.36,140.86,65.88,32.04,570.5364
110000,北京市,2004,2939.41,455.73,809.35,198.39,182.82,131.93,66.96,27.02,510.11
110000,北京市,2003,2674.02,438.25,726.68,165.22,137.94,110.41,66.1,21.19,461.24
110000,北京市,2002,2531.0,378.0,748.0,152.0,145,109.0,71.0,21.0,439.96
110000,北京市,2001,2675.0,429.62,700.5,138.69,129.25,103.52,78.39,16.74,399.94
110000,北京市,2000,2719.78,449.08,754.71,106.6,117.6,81.17,89.62,10.9,384.4266
120000,天津市,2019,,,,,,,,,878.433162
120000,天津市,2018,,,,,,,,,861.438829
120000,天津市,2017,3875.61,808.7,1624.85,273.47,101.5,352.32,40.68,83.31,805.5945
120000,天津市,2016,4230.16,887.29,1433.6,274.49,82.02,370.35,45.33,74.53,807.9299
120000,天津市,2015,4538.83,904.69,1616.72,263.73,65.78,353.43,94.14,63.98,800.6009
120000,天津市,2014,5027.28,954.39,1603.17,226.82,59.85,334.43,78.2,45.4891,794.36
120000,天津市,2013,5278.67,955.48,1759.15,212.24,56.12,324.65,86.93,37.79186,774.5
120000,天津市,2012,5298.0,882.72,1544.62,253.75,29.41,378.17,122.33,32.58184,722.5
120000,天津市,2011,5262.0,709.48,1754.02,222.57,24.53,360.66,149.96,26.02,695.1506
120000,天津市,2010,4806.7932,663.91,1566.79,205.12,21.397,333.54,143.69,22.930884057971,645.74
120000,天津市,2009,4119.65,868.65,844.64,181.03,20.73,303.57,94.65,18.12,550.1556
120000,天津市,2008,3972.77,719.23,790.33,148.76,18.13,289.76,92.49,16.84,515.8839
120000,天津市,2007,3926.7,667.75,950.14,140.15,19.38,260.84,89.63,14.27,494.91
120000,天津市,2006,3809.31002,541.1,900.49,127.84,16.36,247.03,107.12,11.22,433.6501
120000,天津市,2005,3801.45002,329.75,863.14,118.96,15.12,243.14,112.69,9.04,384.8446
120000,天津市,2004,3508.57,328.04,786.57,118.71,15.02,226.03,113.9,8.55,350.97
120000,天津市,2003,3205.34,143.15,750.95,106.42,18.61,193.79,113.48,7.26,313.0
