年份,研究与试验发展女性人员,农、林、牧、渔业研究与试验发展女性人员,采矿业研究与试验发展女性人员,制造业研究与试验发展女性人员,电力、燃气及水的生产和供应业研究与试验发展女性人员,建筑业研究与试验发展女性人员,交通运输、仓储和邮政业研究与试验发展女性人员,信息传输、计算机服务和软件业研究与试验发展女性人员,金融业研究与试验发展女性人员,租赁和商务服务业研究与试验发展女性人员,科学研究、技术服务和地质勘查业研究与试验发展女性人员,水利、环境和公共设施管理业研究与试验发展女性人员,教育研究与试验发展女性人员,卫生、社会保障和社会福利业研究与试验发展女性人员,文化、体育和娱乐业研究与试验发展女性人员
2019,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,
2011,1017382.0,,,,,,,,,,,,,,
2010,894443.0,,,,,,,,,,,,,,
2009,788977.0,3463.0,18857.0,378004.0,5210.0,13066.0,1251.0,19439.0,152.0,6138.0,122229.0,905.0,146651.0,72720.0,892.0
2008,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,
