年份,乡村从业人员,乡村男性从业人员,乡村女性从业人员,农林牧渔业从业人员
2019,,,,
2018,,,,
2017,,,,
2016,,,,
2015,,,,
2014,,,,
2013,,,,
2012,53857.8772,28847.0026,25009.9082,27032.2501
2011,53685.4444,28752.0545,24933.3797,27355.4198
2010,53243.9321,28573.5467,24670.3854,27694.7704
2009,52599.2989,28186.3286,24412.9703,28065.2649
2008,52025.6414,27834.895,24190.7464,28363.5966
2007,51435.7421,27508.0612,23927.6809,28640.6759
2006,50976.8101,27293.03625,23683.77385,29418.4077
2005,50387.2626,26930.5516,23456.711,29975.5382
2004,49695.28,26525.77,23169.51,30596.0
2003,48971.02,26121.04,22849.98,31259.6345
2002,48526.8515,25850.1165,22676.73,31990.5837
2001,48228.9393,25685.3747,22543.5446,32451.0064
2000,47962.1412,25517.7801,22444.3311,32797.4981
