年份,农村居民家庭拥有生产性固定资产原值,农村居民家庭拥有农业生产性固定资产原值,农村居民家庭拥有工业固定资产原值,农村居民家庭拥有建筑业生产性固定资产原值,农村居民家庭拥有交通运输及邮电业生产性固定资产原值,农村居民家庭拥有批发零售贸易及餐饮业固定资产原值,农村居民家庭拥有社会服务业生产性固定资产原值,农村居民家庭拥有文教卫生业固定资产原值,农村居民家庭拥有其他生产性固定资产原值
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,,,,,,,,,
2015,,,,,,,,,
2014,,,,,,,,,
2013,,,,,,,,,
2012,16974.09157,11406.19551,1109.480617,361.1836455,2283.423579,1279.797159,261.1434661,121.1788566,151.6887337
2011,16087.52,10770.47,1011.99,317.7259736,2294.550242,1191.005983,225.99,131.53,144.25
2010,10706.38,7444.3,796.92,187.0,1402.2,543.07,197.56,58.37,76.97
2009,9970.57,6991.86,698.3,155.54,1214.21,490.63,287.71,55.48,76.85
2008,9054.92,6537.78,634.55,92.52,1091.9,398.2,179.13,50.97,69.87
2007,8389.84,6006.22,612.96,96.67,1032.68,367.86,155.46,46.65,71.34
2006,7647.092035,5452.212097,578.22779,71.9211028,928.6530576,378.2350931,138.3682211,41.27018624,58.20448746
2005,7155.545068,5179.462827,537.483634,62.03292272,863.375055,310.7081537,107.4123772,43.00164247,52.06845579
2004,5956.181138,4457.129833,386.3324388,52.50397419,684.4348292,194.4954612,60.42432908,21.5410764,99.31919636
2003,5586.341909,4152.749022,345.6120546,41.13427189,640.4720634,201.8539229,58.84958205,23.5530283,122.1179645
2002,5221.328362,3741.014533,418.2031236,34.38467517,662.3550521,153.6529403,56.82997507,19.96112333,134.9269394
2001,4883.804429,3544.085408,349.8862443,27.77882387,630.3070832,134.8534096,49.66602141,16.41462091,130.8128163
2000,4676.979285,3321.659522,334.7917229,29.01542956,621.03933,149.2360972,60.16157731,12.85601034,148.2195906
