省份编码,省份,年份,建设工程监理营业收入(万元),工程监理收入(万元),工程招标代理收入(万元),工程造价咨询收入(万元),工程项目管理与咨询服务收入(万元),建设工程监理其他收入(万元)
110000,北京市,2019,6035303.786,,,,,
110000,北京市,2018,5058360.83,,,,,
110000,北京市,2017,4951440.97,,,,,
110000,北京市,2016,3494359.45,,,,,
110000,北京市,2015,3171283.37,,,,,
110000,北京市,2014,3170389.64,,,,,
110000,北京市,2013,3125880.1,,,,,
110000,北京市,2012,3140498.57,,,,,
110000,北京市,2011,3055538.59,794142.54,17711.28,8082.07,497144.41,1738458.29
110000,北京市,2010,2543739.0,617035.0,18793.0,7982.0,460521.0,1439408.0
110000,北京市,2009,1654544.33,522060.99,18188.93,7383.76,185270.56,921640.09
110000,北京市,2008,1377140.0,408693.0,19508.0,5696.0,102436.0,840806.0
110000,北京市,2007,1035554.25,334373.27,8692.89,8390.76,86482.89,597614.44
110000,北京市,2006,844882.72,286783.01,7548.75,8318.17,69773.3,472459.49
110000,北京市,2005,524472.65,233294.9,4497.61,5228.07,56828.43,224623.64
110000,北京市,2004,,,,,,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,841374.227,,,,,
120000,天津市,2018,507942.85,,,,,
120000,天津市,2017,422271.73,,,,,
120000,天津市,2016,301532.91,,,,,
120000,天津市,2015,281452.57,,,,,
120000,天津市,2014,272207.26,,,,,
120000,天津市,2013,266620.8,,,,,
120000,天津市,2012,123282.64,,,,,
120000,天津市,2011,187097.03,156072.91,6682.62,7345.51,8029.03,8966.96
120000,天津市,2010,145080.0,121748.0,4547.0,5050.0,5594.0,8141.0
120000,天津市,2009,103208.62,92409.26,2439.82,2108.28,4881.2,1370.06
120000,天津市,2008,95940.0,81386.0,1332.0,1153.0,4091.0,7977.0
120000,天津市,2007,61680.81,57661.04,759.69,326.84,433.48,2499.76
120000,天津市,2006,58338.05,53328.75,165.03,843.96,3001.73,998.58
120000,天津市,2005,44997.2,42176.47,92.4,186.81,1189.31,1352.21
120000,天津市,2004,,,,,,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,869330.222,,,,,
130000,河北省,2018,515231.14,,,,,
130000,河北省,2017,389545.4,,,,,
130000,河北省,2016,372639.33,,,,,
130000,河北省,2015,344431.15,,,,,
130000,河北省,2014,316299.26,,,,,
130000,河北省,2013,317563.79,,,,,
130000,河北省,2012,291748.26,,,,,
130000,河北省,2011,257465.94,172545.02,9090.27,9525.3,16350.67,49954.68
130000,河北省,2010,201907.0,137944.0,7125.0,7133.0,11128.0,38577.0
130000,河北省,2009,121127.38,107359.04,4934.93,3095.94,1832.32,3905.15
130000,河北省,2008,94786.0,84430.0,4241.0,1977.0,2604.0,1534.0
130000,河北省,2007,78459.57,70018.45,3191.22,1214.54,906.77,3128.59
130000,河北省,2006,62802.82,57962.82,2880.1,492.88,1118.86,348.16
130000,河北省,2005,55056.49,52706.54,1487.91,338.3,455.65,68.09
130000,河北省,2004,,,,,,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,1027305.688,,,,,
140000,山西省,2018,600763.01,,,,,
140000,山西省,2017,458760.02,,,,,
140000,山西省,2016,428948.36,,,,,
140000,山西省,2015,270476.54,,,,,
140000,山西省,2014,461661.62,,,,,
140000,山西省,2013,423585.92,,,,,
140000,山西省,2012,331241.94,,,,,
140000,山西省,2011,258613.17,176811.2,7131.03,4313.83,5005.95,65351.16
140000,山西省,2010,142392.0,120720.0,6331.0,1025.0,1400.0,12916.0
140000,山西省,2009,113115.0,98765.41,4455.69,283.4,704.89,8905.61
140000,山西省,2008,77963.0,69685.0,4217.0,533.0,863.0,2665.0
140000,山西省,2007,59811.06,56610.11,1523.79,522.1,840.87,314.19
140000,山西省,2006,50441.63,48659.0,802.2,112.0,640.9,227.53
140000,山西省,2005,43121.236,41967.296,349.93,26.29,594.69,183.03
140000,山西省,2004,,,,,,
140000,山西省,2003,,,,,,
140000,山西省,2002,,,,,,
140000,山西省,2001,,,,,,
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,167382.399,,,,,
150000,内蒙古自治区,2018,159431.19,,,,,
150000,内蒙古自治区,2017,167850.17,,,,,
150000,内蒙古自治区,2016,156716.33,,,,,
150000,内蒙古自治区,2015,128871.94,,,,,
150000,内蒙古自治区,2014,108923.53,,,,,
150000,内蒙古自治区,2013,99993.12,,,,,
150000,内蒙古自治区,2012,90265.97,,,,,
150000,内蒙古自治区,2011,79899.01,78938.49,512.26,447.34,,0.92
150000,内蒙古自治区,2010,61604.0,60564.0,283.0,756.0,,
150000,内蒙古自治区,2009,46316.22,45124.13,220.93,579.35,30.0,361.81
150000,内蒙古自治区,2008,47812.0,46517.0,159.0,971.0,141.0,24.0
150000,内蒙古自治区,2007,38014.89,37898.0,,,,
150000,内蒙古自治区,2006,31005.96,30849.57,101.3,33.0,18.0,4.09
150000,内蒙古自治区,2005,25645.06,25513.02,17.3,,100.0,14.74
150000,内蒙古自治区,2004,,,,,,
