省份编码,省份,年份,总承包建筑业企业单位数(个),总承包建筑业企业从业人员(万人),总承包建筑业企业建筑业总产值(万元),特级总承包建筑业企业建筑业总产值(万元),一级总承包建筑业企业建筑业总产值(万元),二级总承包建筑业企业建筑业总产值(万元),三级及以下总承包建筑业企业建筑业总产值(万元),总承包建筑业企业利税总额(亿元),按总承包建筑业企业总产值计算的劳动生产率(元/人)
110000,北京市,2019,,,,,,,,,
110000,北京市,2018,,,,,,,,,
110000,北京市,2017,,,,,,,,,
110000,北京市,2016,,,,,,,,,
110000,北京市,2015,,,,,,,,,
110000,北京市,2014,,,,,,,,,
110000,北京市,2013,882,33.1899,62619271.1,25834682.8,31753808.7,3099792.5,1930987.1,,913712.42820956
110000,北京市,2012,875,34.0534,55384706.9,21928726.2,28654249.0,3126822.0,1674909.7,383.80778,808159.51257736
110000,北京市,2011,893,34.1395,51043800.0,19551800.4,26964353.2,3101528.2,1426118.2,359.9457,373885.07552224
110000,北京市,2010,883,44.3412,44421703.0,18503615.0,22177743.0,2557635.0,1182710.0,323.9283,263021.0
110000,北京市,2009,869,40.3346,34297215.8,13735777.4,17571313.9,1861495.1,1128629.4,273.90107,265289.54
110000,北京市,2008,838,31.576,24952309.5,8377731.9,14043559.4,1604628.1,926390.1,143.16559,236502.9
110000,北京市,2007,746,37.8534,20504933.2,6668050.6,10876237.3,2164452.0,796193.3,158.48401,192310.85
110000,北京市,2006,734,50.0665,17507049.3,5119440.6,9678769.2,1906185.0,802654.5,146.77196,167806.0
110000,北京市,2005,732,50.086,15445466.2,4727090.5,8242748.7,1762284.6,713342.4,104.84374,162625.62
110000,北京市,2004,,,,,,,,,
110000,北京市,2003,,,,,,,,,
110000,北京市,2002,,,,,,,,,
110000,北京市,2001,,,,,,,,,
110000,北京市,2000,,,,,,,,,
120000,天津市,2019,,,,,,,,,
120000,天津市,2018,,,,,,,,,
120000,天津市,2017,,,,,,,,,
120000,天津市,2016,,,,,,,,,
120000,天津市,2015,,,,,,,,,
120000,天津市,2014,,,,,,,,,
120000,天津市,2013,451,24.0016,30805386.6,6770446.9,17578272.4,4549697.6,1906969.7,,524315.77012433
120000,天津市,2012,424,23.6597,28341057.7,7775819.3,15433866.2,3690949.9,1440422.3,165.24809,572686.61026231
120000,天津市,2011,382,23.5196,26095761.9,8047832.0,13266056.1,3652281.8,1129592.0,147.46459,466338.00700157
120000,天津市,2010,346,36.2288,20468706.0,5429994.0,11025822.0,3196301.0,816589.0,120.0806,387572.0
120000,天津市,2009,314,31.0306,15641916.5,4054122.2,8270238.5,2710873.8,606682.0,90.70596,327844.43
120000,天津市,2008,318,27.6347,11508903.7,3301442.0,6067754.0,1700753.2,438954.5,66.88156,289018.12
120000,天津市,2007,255,26.161,9596304.6,3380950.3,4492884.9,1358738.5,363730.9,50.15077,268191.79
120000,天津市,2006,244,22.1336,7477511.3,2556175.8,3666095.7,918353.9,336885.9,36.59094,255903.0
120000,天津市,2005,240,17.9719,5606341.7,1151947.7,3355987.9,776658.2,321747.9,24.13586,197128.75
120000,天津市,2004,,,,,,,,,
120000,天津市,2003,,,,,,,,,
120000,天津市,2002,,,,,,,,,
120000,天津市,2001,,,,,,,,,
120000,天津市,2000,,,,,,,,,
130000,河北省,2019,,,,,,,,,
130000,河北省,2018,,,,,,,,,
