省份编码,省份,年份,勘察设计机构单位数(个),勘察设计机构年底职工人数(人),勘察设计机构高级职称职工人数(人),勘察设计机构中级职称职工人数(人),勘察设计机构初级职称职工人数(人),勘察设计机构其他人员数(人)
110000,北京市,2019,1440,386353,56354,80447,60771,
110000,北京市,2018,1450,348103,50613,72855,57568,
110000,北京市,2017,1472,281629,41735,61248,47352,
110000,北京市,2016,1668,277319,46946,66494,44526,
110000,北京市,2015,1679,273199,45115,63793,44892,
110000,北京市,2014,1530,262276,40552,57312,41578,
110000,北京市,2013,1474,451151,48679,75306,73977,
110000,北京市,2012,1212,353144,40931,57869,60901,
110000,北京市,2011,975,186875,33976,44240,33529,75130
110000,北京市,2010,859,162101,32632,39789,30521,59159
110000,北京市,2009,476,100991,24536,25812,20614,30029
110000,北京市,2008,546,109167,25992,26458,21367,35350
110000,北京市,2007,571,102881,26245,24529,19331,32776
110000,北京市,2006,574,94840,25537,23410,19120,26773
110000,北京市,2005,584,85654,23967,21545,15865,24277
110000,北京市,2004,,,,,,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,329,73419,16051,17542,14890,
120000,天津市,2018,334,78357,14810,17987,17771,
120000,天津市,2017,335,82451,14410,18070,19435,
120000,天津市,2016,324,58751,12375,12882,11127,
120000,天津市,2015,311,57342,11321,13683,11718,
120000,天津市,2014,329,72880,11210,11992,10489,
120000,天津市,2013,315,66788,11048,11927,10380,
120000,天津市,2012,309,40707,9697,10309,8608,
120000,天津市,2011,298,38907,9459,9944,8503,11001
120000,天津市,2010,278,35415,9603,9397,7676,8739
120000,天津市,2009,279,33975,9207,8539,7520,8709
120000,天津市,2008,281,31438,9212,7746,6844,7636
120000,天津市,2007,266,34498,8864,7390,6766,11478
120000,天津市,2006,244,32911,8513,7264,6501,10633
120000,天津市,2005,215,33069,8359,8210,6346,10154
120000,天津市,2004,,,,,,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,692,70336,11757,18318,11369,
130000,河北省,2018,714,186568,12229,24019,18766,
130000,河北省,2017,709,188836,12528,23195,21091,
130000,河北省,2016,642,184223,11255,21091,19693,
130000,河北省,2015,601,160890,9889,14606,11149,
130000,河北省,2014,606,50555,10285,14199,9640,
130000,河北省,2013,612,50016,9929,13914,10092,
130000,河北省,2012,611,49926,9758,13318,9922,
130000,河北省,2011,571,45273,9620,12593,9124,13936
130000,河北省,2010,525,40820,9382,11127,7695,12616
130000,河北省,2009,448,31660,7533,8700,5533,9894
130000,河北省,2008,502,36155,9142,10828,6467,9718
130000,河北省,2007,486,39143,9286,11106,6658,12093
130000,河北省,2006,426,31675,8186,9658,5008,8823
130000,河北省,2005,522,43901,8058,9692,5932,20219
130000,河北省,2004,,,,,,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,593,53538,8024,14476,10158,
140000,山西省,2018,561,54525,7438,13759,10642,
140000,山西省,2017,570,52449,7426,12925,10521,
140000,山西省,2016,585,70156,7081,12481,11120,
140000,山西省,2015,581,83025,6654,12277,11728,
140000,山西省,2014,613,95939,6907,12214,12095,
140000,山西省,2013,576,40950,6303,10642,9138,
140000,山西省,2012,522,39141,6377,10290,8321,
140000,山西省,2011,443,36455,5810,9001,7088,14556
140000,山西省,2010,432,28520,5850,8462,5410,8798
140000,山西省,2009,410,31067,6134,8798,6170,9965
140000,山西省,2008,438,30340,6625,9519,5993,8203
140000,山西省,2007,400,28781,6241,8915,5397,8228
140000,山西省,2006,413,28544,6370,9039,5464,7671
140000,山西省,2005,368,26526,6073,8734,5402,6317
140000,山西省,2004,,,,,,
140000,山西省,2003,,,,,,
140000,山西省,2002,,,,,,
140000,山西省,2001,,,,,,
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,347,17563,4492,5239,2756,
150000,内蒙古自治区,2018,351,17089,4884,5440,3169,
150000,内蒙古自治区,2017,364,19337,5089,5840,3402,
150000,内蒙古自治区,2016,343,20181,5391,6259,3718,
150000,内蒙古自治区,2015,282,16281,4688,5234,3119,
150000,内蒙古自治区,2014,284,17601,5118,5664,3585,
150000,内蒙古自治区,2013,281,17627,5246,5344,3852,
150000,内蒙古自治区,2012,278,17215,5051,5259,3574,
150000,内蒙古自治区,2011,270,16772,4935,5089,3627,3121
150000,内蒙古自治区,2010,252,16195,4735,4847,3577,3036
150000,内蒙古自治区,2009,255,15761,4614,4914,3512,2721
