省份编码,省份,年份,专业承包建筑业企业利润总额(万元),一级专业承包建筑业企业利润总额(万元),二级专业承包建筑业企业利润总额(万元),三级及以下专业承包建筑业企业利润总额(万元)
110000,北京市,2019,,,,
110000,北京市,2018,,,,
110000,北京市,2017,,,,
110000,北京市,2016,,,,
110000,北京市,2015,,,,
110000,北京市,2014,,,,
110000,北京市,2013,,,,
110000,北京市,2012,305368,204641.5,49546.7,51179.8
110000,北京市,2011,271864.9,168029.6,46731.3,57104.0
110000,北京市,2010,212584,131086.0,29373.0,52125.0
110000,北京市,2009,169827.6,94916.4,30517.3,44393.9
110000,北京市,2008,77352.3,21234.0,25781.0,30337.3
110000,北京市,2007,140281.2,89133.1,22335.9,28812.2
110000,北京市,2006,121774.7,51750.9,16442.4,53581.4
110000,北京市,2005,101353.3,27678.1,22890.1,50785.1
110000,北京市,2004,,,,
110000,北京市,2003,,,,
110000,北京市,2002,,,,
110000,北京市,2001,,,,
110000,北京市,2000,,,,
120000,天津市,2019,,,,
120000,天津市,2018,,,,
120000,天津市,2017,,,,
120000,天津市,2016,,,,
120000,天津市,2015,,,,
120000,天津市,2014,,,,
120000,天津市,2013,,,,
120000,天津市,2012,155544.4,48426.8,41344.2,65773.4
120000,天津市,2011,131696.1,28175.2,40494.7,63026.2
120000,天津市,2010,119422,29235.0,35244.0,54943.0
120000,天津市,2009,143578.3,67808.4,18952.2,56817.7
120000,天津市,2008,184690,136191.2,11354.6,37144.2
120000,天津市,2007,193584.6,146607.3,11280.9,35696.4
120000,天津市,2006,136822.9,100476.5,5539.2,30807.2
120000,天津市,2005,103699.8,75512.3,6930.6,21256.9
120000,天津市,2004,,,,
120000,天津市,2003,,,,
120000,天津市,2002,,,,
120000,天津市,2001,,,,
120000,天津市,2000,,,,
130000,河北省,2019,,,,
130000,河北省,2018,,,,
130000,河北省,2017,,,,
130000,河北省,2016,,,,
130000,河北省,2015,,,,
130000,河北省,2014,,,,
130000,河北省,2013,,,,
130000,河北省,2012,154376.7,57653.8,55194.7,41528.2
130000,河北省,2011,146560.1,69954.3,37423.0,39182.8
130000,河北省,2010,147204,54332.0,48424.0,44448.0
130000,河北省,2009,106556,36079.0,38902.2,31574.8
130000,河北省,2008,118159.3,40693.6,39830.7,37635.0
130000,河北省,2007,72719.1,23401.9,27014.7,22302.5
130000,河北省,2006,53762.8,13234.4,21545.8,18982.6
130000,河北省,2005,53866,12157.3,23942.0,17766.7
130000,河北省,2004,,,,
130000,河北省,2003,,,,
130000,河北省,2002,,,,
130000,河北省,2001,,,,
130000,河北省,2000,,,,
140000,山西省,2019,,,,
140000,山西省,2018,,,,
140000,山西省,2017,,,,
140000,山西省,2016,,,,
140000,山西省,2015,,,,
140000,山西省,2014,,,,
140000,山西省,2013,,,,
140000,山西省,2012,88642.9,17005.0,36743.1,34894.8
140000,山西省,2011,79877.8,13187.4,28533.8,38156.6
140000,山西省,2010,69185,20047.0,22830.0,26309.0
140000,山西省,2009,54361.1,14951.2,17634.9,21775.0
140000,山西省,2008,49434.1,11290.2,20977.0,17166.9
140000,山西省,2007,32449.7,6201.6,9567.6,16680.5
140000,山西省,2006,23150.4,4668.7,7068.7,11413.0
140000,山西省,2005,15053.5,1736.1,7361.2,5956.2
140000,山西省,2004,,,,
140000,山西省,2003,,,,
