省份编码,省份,年份,总承包建筑业企业利润总额(万元),特级总承包建筑业企业利润总额(万元),一级总承包建筑业企业利润总额(万元),二级总承包建筑业企业利润总额(万元),三级及以下总承包建筑业企业利润总额(万元)
110000,北京市,2019,,,,,
110000,北京市,2018,,,,,
110000,北京市,2017,,,,,
110000,北京市,2016,,,,,
110000,北京市,2015,,,,,
110000,北京市,2014,,,,,
110000,北京市,2013,,,,,
110000,北京市,2012,2128644.6,1361133.2,665968.1,70349.6,31193.7
110000,北京市,2011,1895905.5,1151508.0,608347.0,67475.8,68574.7
110000,北京市,2010,1773600.0,1014352.0,607769.0,73826.0,77652.0
110000,北京市,2009,1581584.6,1018576.3,492820.5,40238.4,29949.4
110000,北京市,2008,486547.6,116445.5,256881.7,27785.3,85435.1
110000,北京市,2007,819975.2,481296.4,208381.4,92960.6,37336.8
110000,北京市,2006,844152.3,432891.0,274175.0,105977.8,31108.5
110000,北京市,2005,510773.8,372072.6,83440.5,29569.4,25691.3
110000,北京市,2004,,,,,
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,,,,,
120000,天津市,2018,,,,,
120000,天津市,2017,,,,,
120000,天津市,2016,,,,,
120000,天津市,2015,,,,,
120000,天津市,2014,,,,,
120000,天津市,2013,,,,,
120000,天津市,2012,803819.4,216595.2,349987.4,160804.6,76432.2
120000,天津市,2011,663742.9,160160.6,360903.6,101920.4,40758.3
120000,天津市,2010,541119.0,139549.0,299229.0,80770.0,21571.0
120000,天津市,2009,398407.7,111561.4,213118.1,66160.6,7567.6
120000,天津市,2008,290713.7,83367.0,159698.2,37117.4,10531.1
120000,天津市,2007,185627.0,49015.7,114284.1,16462.3,5864.9
120000,天津市,2006,121110.9,37829.9,67382.5,9336.3,6562.2
120000,天津市,2005,66437.3,9785.4,34422.2,11054.2,11175.5
120000,天津市,2004,,,,,
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,,,,,
130000,河北省,2018,,,,,
130000,河北省,2017,,,,,
130000,河北省,2016,,,,,
130000,河北省,2015,,,,,
130000,河北省,2014,,,,,
130000,河北省,2013,,,,,
130000,河北省,2012,1317368.4,163704.6,472272.6,440572.7,240818.5
130000,河北省,2011,1123416.1,117040.1,442941.5,355878.8,207555.7
130000,河北省,2010,902103.0,75551.0,326870.0,290529.0,209154.0
130000,河北省,2009,638198.1,48852.6,255384.5,193594.3,140366.7
130000,河北省,2008,600745.3,5011.1,235509.4,192479.6,167745.2
130000,河北省,2007,373801.7,7869.4,151079.0,114144.3,100709.0
130000,河北省,2006,260397.0,4231.6,91189.2,86313.0,78663.2
130000,河北省,2005,239510.6,3848.3,88502.1,75022.5,72137.7
130000,河北省,2004,,,,,
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,,,,,
140000,山西省,2018,,,,,
140000,山西省,2017,,,,,
140000,山西省,2016,,,,,
140000,山西省,2015,,,,,
140000,山西省,2014,,,,,
140000,山西省,2013,,,,,
140000,山西省,2012,604675.7,225603.7,190036.9,113686.9,75348.2
140000,山西省,2011,412358.5,126934.2,156091.9,77339.9,51992.5
