省份编码,省份,年份,建设工程监理企业单位数(个),建设工程监理企业从业人数(人),建设工程监理企业高、中级职称人员数(人),建设工程监理企业注册执业人数(人),建设工程监理企业注册监理工程师(人),建设工程监理企业其他注册执业人员(人)
110000,北京市,2019,320,96434,50034,21737,10166,
110000,北京市,2018,329,89959,46876,18224,10562,
110000,北京市,2017,328,88059,50165,15999,9223,
110000,北京市,2016,308,83237,46413,15673,9027,
110000,北京市,2015,302,78196,44844,14418,9614,
110000,北京市,2014,314,80468,45324,13985,9435,
110000,北京市,2013,309,76293,,13493,,
110000,北京市,2012,291,68722,41772,12517,8702,
110000,北京市,2011,284,65637,39185,11789,8296,3493
110000,北京市,2010,246,59399,34980,9682,7122,2560
110000,北京市,2009,266,55710,34147,10377,7894,2483
110000,北京市,2008,253,46625,29032,9222,6937,2285
110000,北京市,2007,261,44984,28803,7440,5719,1721
110000,北京市,2006,269,41965,10209,7200,6694,506
110000,北京市,2005,278,38277,25096,7604,7364,240
110000,北京市,2004,,,,,,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,119,17960,8719,4689,2635,
120000,天津市,2018,121,15204,7331,4502,2908,
120000,天津市,2017,107,15121,7184,3794,2320,
120000,天津市,2016,100,14248,6680,3601,2177,
120000,天津市,2015,89,14164,6608,3365,2574,
120000,天津市,2014,96,16073,7041,3228,2369,
120000,天津市,2013,90,16754,,2971,,
120000,天津市,2012,43,9020,3769,1689,1082,
120000,天津市,2011,77,14324,6239,2185,1645,540
120000,天津市,2010,68,12911,5691,2061,1511,550
120000,天津市,2009,63,11680,5170,1872,1490,382
120000,天津市,2008,74,10672,4752,1658,1260,398
120000,天津市,2007,64,8875,4189,1351,812,539
120000,天津市,2006,71,9044,1567,1663,1317,346
120000,天津市,2005,71,8185,4062,1709,1474,235
120000,天津市,2004,,,,,,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,294,35620,17817,8430,4659,
130000,河北省,2018,321,33473,17986,8652,5187,
130000,河北省,2017,305,31959,18562,9021,5281,
130000,河北省,2016,306,31624,17934,8632,5345,
130000,河北省,2015,317,30426,17857,8129,5416,
130000,河北省,2014,319,30957,18743,7640,5130,
130000,河北省,2013,314,29877,,7296,,
130000,河北省,2012,312,28247,17679,6974,4780,
130000,河北省,2011,321,28165,18002,6759,4735,2024
130000,河北省,2010,315,26015,16767,6338,4459,1879
130000,河北省,2009,294,22848,15498,5526,4341,1185
130000,河北省,2008,319,21321,15102,5168,4025,1143
130000,河北省,2007,325,20682,15147,4411,2753,1658
130000,河北省,2006,313,19341,3139,4427,3193,1234
130000,河北省,2005,290,17630,13115,3831,3338,493
130000,河北省,2004,,,,,,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,215,27655,15052,5938,3853,
140000,山西省,2018,229,27534,15646,6790,4662,
140000,山西省,2017,223,25994,15760,6996,4773,
140000,山西省,2016,234,25890,15524,6381,4423,
140000,山西省,2015,234,24992,15097,6055,4573,
140000,山西省,2014,232,26492,16147,5794,4138,
140000,山西省,2013,215,26943,,5428,,
