省份编码,省份,年份,建筑业增加值(亿元)
110000,北京市,2019,
110000,北京市,2018,
110000,北京市,2017,1319.671462
110000,北京市,2016,1199.27281701
110000,北京市,2015,1237.41852692
110000,北京市,2014,1155.67425505
110000,北京市,2013,888.26032
110000,北京市,2012,845.55910108
110000,北京市,2011,768.48082512
110000,北京市,2010,578.70506825
110000,北京市,2009,468.19441723
110000,北京市,2008,373.745808132385
110000,北京市,2007,333.839053753815
110000,北京市,2006,298.463354979006
110000,北京市,2005,284.2418
110000,北京市,2004,225.472633718946
110000,北京市,2003,194.5971
110000,北京市,2002,171.039
110000,北京市,2001,221.5886
110000,北京市,2000,186.1649
120000,天津市,2019,
120000,天津市,2018,
120000,天津市,2017,505.61013934
120000,天津市,2016,581.92913202
120000,天津市,2015,663.36727529
120000,天津市,2014,677.35656058
120000,天津市,2013,610.34096
120000,天津市,2012,443.46506906
120000,天津市,2011,381.00298722
120000,天津市,2010,302.21598275
120000,天津市,2009,257.87595434
120000,天津市,2008,212.431828329679
120000,天津市,2007,171.783506945203
120000,天津市,2006,129.828108517187
120000,天津市,2005,111.2972
120000,天津市,2004,96.2170361897734
120000,天津市,2003,79.5963
120000,天津市,2002,63.8907
120000,天津市,2001,66.5186
120000,天津市,2000,59.6889
130000,河北省,2019,
130000,河北省,2018,
130000,河北省,2017,779.64458971
130000,河北省,2016,769.89596815
130000,河北省,2015,754.96349905
130000,河北省,2014,770.32318
130000,河北省,2013,782.87735
130000,河北省,2012,733.04684372
130000,河北省,2011,655.73965724
130000,河北省,2010,524.89298207
130000,河北省,2009,444.80831905
130000,河北省,2008,422.876902637482
130000,河北省,2007,285.256319896689
130000,河北省,2006,250.267758294047
130000,河北省,2005,222.4625
130000,河北省,2004,209.062461583126
130000,河北省,2003,168.8931
130000,河北省,2002,149.527
130000,河北省,2001,159.5275
130000,河北省,2000,125.584
140000,山西省,2019,
140000,山西省,2018,
140000,山西省,2017,492.72657475
140000,山西省,2016,480.24030793
140000,山西省,2015,461.34034677
140000,山西省,2014,493.23939741
140000,山西省,2013,429.64895
140000,山西省,2012,392.86794038
140000,山西省,2011,357.21055614
140000,山西省,2010,339.10785229
140000,山西省,2009,260.35554203
140000,山西省,2008,211.793028842831
140000,山西省,2007,177.683283852378
140000,山西省,2006,141.676082246377
140000,山西省,2005,130.0114
140000,山西省,2004,118.145324070561
140000,山西省,2003,95.1478
140000,山西省,2002,78.4804
140000,山西省,2001,77.5992
140000,山西省,2000,65.9211
150000,内蒙古自治区,2019,
150000,内蒙古自治区,2018,
150000,内蒙古自治区,2017,237.1956067
150000,内蒙古自治区,2016,270.59422229
150000,内蒙古自治区,2015,252.42420116
150000,内蒙古自治区,2014,327.70596725
150000,内蒙古自治区,2013,420.95677
150000,内蒙古自治区,2012,348.78296377
150000,内蒙古自治区,2011,376.00277847
150000,内蒙古自治区,2010,326.07877842
150000,内蒙古自治区,2009,283.62113413
150000,内蒙古自治区,2008,196.728862104729
150000,内蒙古自治区,2007,182.574762825791
150000,内蒙古自治区,2006,139.035222642192
150000,内蒙古自治区,2005,108.6085
150000,内蒙古自治区,2004,95.1317544323174
150000,内蒙古自治区,2003,66.6669
150000,内蒙古自治区,2002,50.8817
150000,内蒙古自治区,2001,53.0331
150000,内蒙古自治区,2000,41.553
210000,辽宁省,2019,
