省份编码,省份,年份,专业承包建筑业企业单位数(个),专业承包建筑业企业从业人员(万人),专业承包建筑业企业建筑业总产值(万元),一级专业承包建筑业企业建筑业专业产值(万元),二级专业承包建筑业企业建筑业专业产值(万元),三级及以下专业承包建筑业企业建筑业专业产值(万元),专业承包建筑业企业利税专业额(亿元),按专业承包建筑业企业总产值计算的劳动生产率(元/人)
110000,北京市,2019,,,,,,,,
110000,北京市,2018,,,,,,,,
110000,北京市,2017,,,,,,,,
110000,北京市,2016,,,,,,,,
110000,北京市,2015,,,,,,,,
110000,北京市,2014,,,,,,,,
110000,北京市,2013,2232,15.8557,11451587.6,7458383.6,1915199.5,2078004.5,,590662.5128303
110000,北京市,2012,2303,14.4207,10498246.2,6540643.1,1880001.6,2077601.5,68.15956,513180.99251119
110000,北京市,2011,2376,14.8727,9418382.3,5993794.4,1544101.7,1880486.2,61.40823,197010.4964806
110000,北京市,2010,2379,15.0404,7538470.0,4735850.0,1244905.0,1557715.0,49.332,215347.0
110000,北京市,2009,2357,15.4435,6299807.5,3824559.8,1129065.6,1346182.1,40.29609,190069.26
110000,北京市,2008,2371,14.8161,5709389.3,3343817.0,1012827.9,1352744.4,27.63593,173196.54
110000,北京市,2007,1943,15.4048,5262758.3,3052123.2,1060494.6,1150140.5,30.96948,183467.9
110000,北京市,2006,1900,16.3138,4172173.5,2409176.6,794837.9,968159.0,25.85844,155172.65
110000,北京市,2005,1881,16.7151,3494969.6,1821763.4,767678.9,905527.3,21.82462,142998.52
110000,北京市,2004,,,,,,,,
110000,北京市,2003,,,,,,,,
110000,北京市,2002,,,,,,,,
110000,北京市,2001,,,,,,,,
110000,北京市,2000,,,,,,,,
120000,天津市,2019,,,,,,,,
120000,天津市,2018,,,,,,,,
120000,天津市,2017,,,,,,,,
120000,天津市,2016,,,,,,,,
120000,天津市,2015,,,,,,,,
120000,天津市,2014,,,,,,,,
120000,天津市,2013,1149,9.1534,5899940.8,2833379.3,1129209.6,1937351.9,,582284.63147922
120000,天津市,2012,1111,8.5851,4244643.7,1756632.3,953615.1,1534396.3,29.44087,446161.1886017
120000,天津市,2011,1059,8.7945,3768783.2,1450177.1,943863.1,1374743.0,25.78645,403272.50548392
120000,天津市,2010,1092,11.609,3776227.0,1414662.0,1040655.0,1320910.0,24.0395,298306.0
120000,天津市,2009,1051,10.6008,3472836.1,1471987.8,825659.4,1175188.9,23.72319,299317.91
120000,天津市,2008,1011,8.6929,3028950.7,1417488.6,707692.4,903769.7,27.16233,309177.56
120000,天津市,2007,839,8.6852,2623114.2,1303177.9,505486.0,814450.3,27.16913,276189.97
120000,天津市,2006,844,8.6,2361808.2,1187548.0,454717.9,719542.3,20.10253,254233.97
120000,天津市,2005,837,8.6803,1937360.1,976958.2,361102.9,599299.0,15.67609,181922.0
120000,天津市,2004,,,,,,,,
120000,天津市,2003,,,,,,,,
120000,天津市,2002,,,,,,,,
120000,天津市,2001,,,,,,,,
120000,天津市,2000,,,,,,,,
130000,河北省,2019,,,,,,,,
130000,河北省,2018,,,,,,,,
130000,河北省,2017,,,,,,,,
130000,河北省,2016,,,,,,,,
130000,河北省,2015,,,,,,,,
130000,河北省,2014,,,,,,,,
130000,河北省,2013,750,10.1142,3426484.9,1364089.3,1070279.3,992116.3,,376656.83569489
