省份编码,省份,年份,按建筑业增加值计算的劳动生产率(元/人.年)
110000,北京市,2019,
110000,北京市,2018,
110000,北京市,2017,76474.9408040908
110000,北京市,2016,72418.6753603655
110000,北京市,2015,76173.2547432131
110000,北京市,2014,71839.2842299406
110000,北京市,2013,60424.3716783854
110000,北京市,2012,95018.2776407448
110000,北京市,2011,
110000,北京市,2010,
110000,北京市,2009,
110000,北京市,2008,
110000,北京市,2007,
110000,北京市,2006,
110000,北京市,2005,
110000,北京市,2004,
110000,北京市,2003,
110000,北京市,2002,
110000,北京市,2001,
110000,北京市,2000,
120000,天津市,2019,
120000,天津市,2018,
120000,天津市,2017,53634.0861692389
120000,天津市,2016,58632.7762897255
120000,天津市,2015,73271.1048963948
120000,天津市,2014,66834.5261420271
120000,天津市,2013,82795.9002198887
120000,天津市,2012,75161.5327482645
120000,天津市,2011,
120000,天津市,2010,
120000,天津市,2009,
120000,天津市,2008,
120000,天津市,2007,
120000,天津市,2006,
120000,天津市,2005,
120000,天津市,2004,
120000,天津市,2003,
120000,天津市,2002,
120000,天津市,2001,
120000,天津市,2000,
130000,河北省,2019,
130000,河北省,2018,
130000,河北省,2017,51686.7910351485
130000,河北省,2016,52996.4575788635
130000,河北省,2015,54225.3657013367
130000,河北省,2014,52664.540458796
130000,河北省,2013,73970.969574158
130000,河北省,2012,52918.5527751228
130000,河北省,2011,
130000,河北省,2010,
130000,河北省,2009,
130000,河北省,2008,
130000,河北省,2007,
130000,河北省,2006,
130000,河北省,2005,
130000,河北省,2004,
130000,河北省,2003,
130000,河北省,2002,
130000,河北省,2001,
130000,河北省,2000,
140000,山西省,2019,
140000,山西省,2018,
140000,山西省,2017,47213.1717117613
140000,山西省,2016,42777.0035389165
140000,山西省,2015,46372.4353672229
140000,山西省,2014,46301.602629368
140000,山西省,2013,55660.6383899363
140000,山西省,2012,41544.2680178203
140000,山西省,2011,
140000,山西省,2010,
140000,山西省,2009,
140000,山西省,2008,
140000,山西省,2007,
140000,山西省,2006,
140000,山西省,2005,
140000,山西省,2004,
140000,山西省,2003,
140000,山西省,2002,
140000,山西省,2001,
140000,山西省,2000,
150000,内蒙古自治区,2019,
150000,内蒙古自治区,2018,
150000,内蒙古自治区,2017,66103.2385334396
150000,内蒙古自治区,2016,65514.4232356003
150000,内蒙古自治区,2015,62190.7578119033
150000,内蒙古自治区,2014,64249.0172157567
150000,内蒙古自治区,2013,145168.745437647
150000,内蒙古自治区,2012,63706.5126597307
150000,内蒙古自治区,2011,
150000,内蒙古自治区,2010,
150000,内蒙古自治区,2009,
150000,内蒙古自治区,2008,
150000,内蒙古自治区,2007,
150000,内蒙古自治区,2006,
150000,内蒙古自治区,2005,
150000,内蒙古自治区,2004,
150000,内蒙古自治区,2003,
150000,内蒙古自治区,2002,
150000,内蒙古自治区,2001,
150000,内蒙古自治区,2000,
210000,辽宁省,2019,
210000,辽宁省,2018,
210000,辽宁省,2017,54589.7608812785
210000,辽宁省,2016,56603.6855714583
210000,辽宁省,2015,62349.8003951494
210000,辽宁省,2014,55509.624740446
210000,辽宁省,2013,75429.905769367
210000,辽宁省,2012,54886.1509346826
210000,辽宁省,2011,
210000,辽宁省,2010,
210000,辽宁省,2009,
210000,辽宁省,2008,
210000,辽宁省,2007,
210000,辽宁省,2006,
210000,辽宁省,2005,
