省份编码,省份,年份,建筑业企业利润总额(亿元)
110000,北京市,2019,804.36954
110000,北京市,2018,488.76841
110000,北京市,2017,741.35738
110000,北京市,2016,675.31687
110000,北京市,2015,479.37647
110000,北京市,2014,435.96405
110000,北京市,2013,
110000,北京市,2012,243.40126
110000,北京市,2011,216.77704
110000,北京市,2010,198.61834
110000,北京市,2009,175.14122
110000,北京市,2008,56.38999
110000,北京市,2007,96.02564
110000,北京市,2006,96.5927
110000,北京市,2005,61.2127
110000,北京市,2004,37.95776
110000,北京市,2003,29.9739
110000,北京市,2002,25.1894
110000,北京市,2001,18.7424
110000,北京市,2000,16.3561
120000,天津市,2019,98.74151
120000,天津市,2018,86.12687
120000,天津市,2017,71.60173
120000,天津市,2016,97.58337
120000,天津市,2015,159.40819
120000,天津市,2014,158.55849
120000,天津市,2013,
120000,天津市,2012,95.93638
120000,天津市,2011,79.5439
120000,天津市,2010,66.05411
120000,天津市,2009,54.1986
120000,天津市,2008,47.54037
120000,天津市,2007,37.92116
120000,天津市,2006,25.79338
120000,天津市,2005,17.0137
120000,天津市,2004,12.59425
120000,天津市,2003,9.7029
120000,天津市,2002,7.3614
120000,天津市,2001,3.7517
120000,天津市,2000,2.7993
130000,河北省,2019,143.92821
130000,河北省,2018,139.34144
130000,河北省,2017,162.53678
130000,河北省,2016,154.65085
130000,河北省,2015,155.67475
130000,河北省,2014,163.13028
130000,河北省,2013,
130000,河北省,2012,147.17451
130000,河北省,2011,126.99762
130000,河北省,2010,104.93069
130000,河北省,2009,74.47541
130000,河北省,2008,71.89046
130000,河北省,2007,44.65208
130000,河北省,2006,31.41598
130000,河北省,2005,29.3377
130000,河北省,2004,24.62001
130000,河北省,2003,18.0629
130000,河北省,2002,14.6051
130000,河北省,2001,12.6382
130000,河北省,2000,6.737
140000,山西省,2019,100.14579
140000,山西省,2018,96.10486
140000,山西省,2017,101.13162
140000,山西省,2016,97.20769
140000,山西省,2015,93.80784
140000,山西省,2014,93.91658
140000,山西省,2013,
140000,山西省,2012,69.33186
140000,山西省,2011,49.22363
140000,山西省,2010,48.38101
140000,山西省,2009,30.56113
140000,山西省,2008,23.17357
140000,山西省,2007,19.45659
140000,山西省,2006,9.56322
140000,山西省,2005,9.3202
140000,山西省,2004,7.84499
140000,山西省,2003,4.7523
140000,山西省,2002,3.7332
140000,山西省,2001,1.7683
140000,山西省,2000,-0.0514
150000,内蒙古自治区,2019,32.21116
150000,内蒙古自治区,2018,42.90925
150000,内蒙古自治区,2017,52.2326
150000,内蒙古自治区,2016,60.63297
150000,内蒙古自治区,2015,46.6159
150000,内蒙古自治区,2014,73.25127
150000,内蒙古自治区,2013,
150000,内蒙古自治区,2012,86.21899
150000,内蒙古自治区,2011,105.37283
150000,内蒙古自治区,2010,82.66705
150000,内蒙古自治区,2009,74.40244
150000,内蒙古自治区,2008,53.53443
150000,内蒙古自治区,2007,35.33626
150000,内蒙古自治区,2006,28.42197
150000,内蒙古自治区,2005,16.2376
150000,内蒙古自治区,2004,12.71648
150000,内蒙古自治区,2003,5.5627
150000,内蒙古自治区,2002,4.0988
150000,内蒙古自治区,2001,1.9053
150000,内蒙古自治区,2000,1.4561
210000,辽宁省,2019,81.91539
210000,辽宁省,2018,108.98403
210000,辽宁省,2017,107.63309
210000,辽宁省,2016,121.13742
210000,辽宁省,2015,168.78849
210000,辽宁省,2014,254.67607
210000,辽宁省,2013,
210000,辽宁省,2012,256.07767
210000,辽宁省,2011,224.31136
210000,辽宁省,2010,173.96424
210000,辽宁省,2009,118.8891
210000,辽宁省,2008,88.35025
210000,辽宁省,2007,83.68466
210000,辽宁省,2006,58.16647
210000,辽宁省,2005,54.3863
210000,辽宁省,2004,29.35195
210000,辽宁省,2003,16.5123
210000,辽宁省,2002,12.703
210000,辽宁省,2001,14.8186
210000,辽宁省,2000,6.673
220000,吉林省,2019,80.4305
220000,吉林省,2018,88.34042
220000,吉林省,2017,89.75989
220000,吉林省,2016,91.14511
220000,吉林省,2015,96.95797
220000,吉林省,2014,110.35765
220000,吉林省,2013,
220000,吉林省,2012,74.46647
220000,吉林省,2011,89.02683
220000,吉林省,2010,46.05946
220000,吉林省,2009,38.72167
220000,吉林省,2008,41.24635
220000,吉林省,2007,10.2742
220000,吉林省,2006,7.5164
220000,吉林省,2005,2.496
220000,吉林省,2004,4.23907
220000,吉林省,2003,2.3497
220000,吉林省,2002,2.9628
220000,吉林省,2001,3.6912
220000,吉林省,2000,1.7339
230000,黑龙江省,2019,43.55941
230000,黑龙江省,2018,23.3972
230000,黑龙江省,2017,37.51345
230000,黑龙江省,2016,51.23825
230000,黑龙江省,2015,46.52909
230000,黑龙江省,2014,50.8877
230000,黑龙江省,2013,
230000,黑龙江省,2012,61.78298
230000,黑龙江省,2011,58.91873
230000,黑龙江省,2010,56.49312
230000,黑龙江省,2009,55.82025
230000,黑龙江省,2008,45.766
230000,黑龙江省,2007,9.80285
230000,黑龙江省,2006,7.66411
230000,黑龙江省,2005,5.2342
230000,黑龙江省,2004,4.48498
230000,黑龙江省,2003,5.453
230000,黑龙江省,2002,4.5741
230000,黑龙江省,2001,5.3572
230000,黑龙江省,2000,3.107
310000,上海市,2019,242.18869
310000,上海市,2018,226.6242
310000,上海市,2017,213.09714
310000,上海市,2016,217.74248
310000,上海市,2015,194.46068
310000,上海市,2014,200.08952
310000,上海市,2013,
310000,上海市,2012,162.68652
310000,上海市,2011,166.68739
310000,上海市,2010,159.78775
310000,上海市,2009,137.46803
310000,上海市,2008,117.38018
310000,上海市,2007,79.41365
310000,上海市,2006,103.36812
310000,上海市,2005,66.913
310000,上海市,2004,66.87032
310000,上海市,2003,40.9236
310000,上海市,2002,23.5432
310000,上海市,2001,19.1779
310000,上海市,2000,18.4252
320000,江苏省,2019,1229.95014
320000,江苏省,2018,1161.77379
320000,江苏省,2017,1060.25826
320000,江苏省,2016,992.62893
320000,江苏省,2015,985.3946
320000,江苏省,2014,980.44385
320000,江苏省,2013,
320000,江苏省,2012,727.37791
320000,江苏省,2011,595.86511
320000,江苏省,2010,496.6263
320000,江苏省,2009,400.54283
320000,江苏省,2008,357.66345
320000,江苏省,2007,236.87117
320000,江苏省,2006,164.3108
320000,江苏省,2005,111.9457
320000,江苏省,2004,82.06767
320000,江苏省,2003,54.7982
320000,江苏省,2002,35.3159
320000,江苏省,2001,25.8129
320000,江苏省,2000,20.6569
330000,浙江省,2019,462.81349
330000,浙江省,2018,494.38497
330000,浙江省,2017,627.70038
330000,浙江省,2016,573.7787
330000,浙江省,2015,550.87755
330000,浙江省,2014,576.25588
330000,浙江省,2013,
330000,浙江省,2012,459.68183
330000,浙江省,2011,411.57218
330000,浙江省,2010,348.21702
330000,浙江省,2009,274.45471
330000,浙江省,2008,214.51875
330000,浙江省,2007,188.72917
330000,浙江省,2006,152.54088
330000,浙江省,2005,132.4144
330000,浙江省,2004,99.73256
330000,浙江省,2003,83.2163
330000,浙江省,2002,60.6604
330000,浙江省,2001,45.8497
330000,浙江省,2000,31.885
340000,安徽省,2019,232.23875
340000,安徽省,2018,254.87473
340000,安徽省,2017,212.08736
340000,安徽省,2016,203.62218
340000,安徽省,2015,186.87324
340000,安徽省,2014,193.39305
340000,安徽省,2013,
340000,安徽省,2012,150.8867
340000,安徽省,2011,127.12475
340000,安徽省,2010,98.24701
340000,安徽省,2009,74.40929
340000,安徽省,2008,63.33632
340000,安徽省,2007,37.82528
340000,安徽省,2006,25.54708
340000,安徽省,2005,18.0314
340000,安徽省,2004,15.2987
340000,安徽省,2003,11.0443
340000,安徽省,2002,9.0671
340000,安徽省,2001,7.2552
340000,安徽省,2000,2.8127
350000,福建省,2019,388.08132
350000,福建省,2018,386.47453
350000,福建省,2017,338.166
350000,福建省,2016,279.4527
350000,福建省,2015,263.11439
350000,福建省,2014,234.11507
350000,福建省,2013,
350000,福建省,2012,151.21261
350000,福建省,2011,126.47016
350000,福建省,2010,87.3488
350000,福建省,2009,65.6737
350000,福建省,2008,51.95791
350000,福建省,2007,37.55319
350000,福建省,2006,30.88814
350000,福建省,2005,19.6898
350000,福建省,2004,15.73432
350000,福建省,2003,11.582
