省份编码,省份,年份,建筑业企业税金总额(亿元),内资建筑业企业税金总额(亿元),国有建筑业企业税金总额(亿元),集体建筑业企业税金总额(亿元),港澳台商投资建筑业企业税金总额(亿元),港澳台商独资建筑业企业税金总额(亿元),外商投资建筑业企业税金总额(亿元),外商独资建筑业企业税金总额(亿元)
110000,北京市,2019,243.15484,240.58837,44.69499,2.32028,1.39843,0.5286,1.16804,0.29218
110000,北京市,2018,198.40203,195.63681,27.78172,3.15542,1.53419,0.48269,1.23103,0.22366
110000,北京市,2017,201.86813,198.09754,41.35911,5.56787,2.12919,0.61724,1.6414,0.26673
110000,北京市,2016,216.39328,211.95233,45.94761,7.51077,2.17962,0.51112,2.26133,0.77656
110000,北京市,2015,255.58348,251.51011,50.1126,5.34128,2.1044,0.47771,1.96897,0.68321
110000,北京市,2014,251.60919,246.9133,47.66457,5.76272,2.51028,0.84402,2.18561,0.77702
110000,北京市,2013,,,,,,,,
110000,北京市,2012,208.56608,203.23263,34.42555,5.28412,2.84731,0.76001,2.48614,0.75629
110000,北京市,2011,204.57689,199.04194,32.32468,5.77152,3.40905,0.74044,2.1259,0.47792
110000,北京市,2010,174.6419,169.9732,31.873,5.4044,2.4289,0.5445,2.2399,0.3898
110000,北京市,2009,139.05594,135.2015,29.62661,4.57953,1.77083,0.51341,2.08361,0.23213
110000,北京市,2008,114.41153,110.64609,24.97593,4.17525,1.68888,0.62023,2.07656,0.25305
110000,北京市,2007,93.42785,90.08027,27.77312,4.02025,1.3463,0.43245,2.00128,0.21843
110000,北京市,2006,76.04,73.23,25.57,3.74,1.16,0.38,1.66,0.21
110000,北京市,2005,65.46,63.38,24.07,4.19,0.8,0.22,1.27,0.17
110000,北京市,2004,,,,,,,,
110000,北京市,2003,,,,,,,,
110000,北京市,2002,,,,,,,,
110000,北京市,2001,,,,,,,,
110000,北京市,2000,,,,,,,,
120000,天津市,2019,67.46344,67.27309,11.19769,0.95255,0.08176,0.00418,0.10859,
120000,天津市,2018,64.03329,63.90715,9.16264,-0.10453,0.07965,0.01259,0.04649,
120000,天津市,2017,70.93821,70.77556,18.89804,1.22992,0.05542,0.03894,0.10723,-0.01056
120000,天津市,2016,91.79406,91.61383,18.29309,3.6787,0.06552,0.00943,0.11471,0.06918
120000,天津市,2015,120.56072,120.31265,15.94023,5.84694,0.11798,0.00768,0.13009,0.04026
120000,天津市,2014,119.18136,118.98757,14.88006,7.7087,0.07963,0.01037,0.11416,0.02103
120000,天津市,2013,,,,,,,,
