省份编码,省份,年份,劳务分包建筑业企业单位数(个),劳务分包建筑业企业从业人数(人),劳务分包建筑业企业营业收入(万元),劳务分包建筑业企业主营业务收入(万元),劳务分包建筑业企业税金(万元),劳务分包建筑业企业利润总额(万元),劳务分包建筑业企业从业人员劳动报酬(万元)
110000,北京市,2019,,,,,,,
110000,北京市,2018,,,,,,,
110000,北京市,2017,,,,,,,
110000,北京市,2016,,,,,,,
110000,北京市,2015,,,,,,,
110000,北京市,2014,,,,,,,
110000,北京市,2013,,,,,,,
110000,北京市,2012,121,25873,279387.5,277736.5,7307,4201.9,
110000,北京市,2011,141,22278,231366.5,230197.5,5768.1,5122.6,
110000,北京市,2010,140,12198,137780.0,136608.0,3629,2023.0,35362
110000,北京市,2009,136,10183,105924.1,104683.2,2499.4,548.1,25286.2
110000,北京市,2008,137,8642,105261.8,104342.5,2350.7,2222.2,22224.1
110000,北京市,2007,84,4677,43150.4,42766.0,882.9,-251.0,9657.1
110000,北京市,2006,81,7459,47039.7,46467.1,840.4,-139.3,16358.4
110000,北京市,2005,64,7017,28036.2,26758.3,662.4,977.2,9806.7
110000,北京市,2004,,,,,,,
110000,北京市,2003,,,,,,,
110000,北京市,2002,,,,,,,
110000,北京市,2001,,,,,,,
110000,北京市,2000,,,,,,,
120000,天津市,2019,,,,,,,
120000,天津市,2018,,,,,,,
120000,天津市,2017,,,,,,,
120000,天津市,2016,,,,,,,
120000,天津市,2015,,,,,,,
120000,天津市,2014,,,,,,,
120000,天津市,2013,,,,,,,
120000,天津市,2012,341,125093,1004487.0,980653.0,40255.4,17184.5,
120000,天津市,2011,329,121569,800925.6,798961.6,31278.6,14888.1,
120000,天津市,2010,318,91698,495517.0,493248.0,18054,5829.0,199570
120000,天津市,2009,282,62777,298706.3,296863.3,10838.6,3261.5,95297.9
120000,天津市,2008,261,30947,194335.1,189791.4,7604.4,5332.0,49953.9
120000,天津市,2007,190,25385,168162.9,163769.1,5943.6,2236.7,42266
120000,天津市,2006,192,16108,70606.0,69620.0,2453.5,309.4,18692.9
120000,天津市,2005,170,12410,60714.6,50938.1,1854,1499.3,13108.4
120000,天津市,2004,,,,,,,
120000,天津市,2003,,,,,,,
120000,天津市,2002,,,,,,,
120000,天津市,2001,,,,,,,
120000,天津市,2000,,,,,,,
130000,河北省,2019,,,,,,,
130000,河北省,2018,,,,,,,
130000,河北省,2017,,,,,,,
130000,河北省,2016,,,,,,,
130000,河北省,2015,,,,,,,
130000,河北省,2014,,,,,,,
130000,河北省,2013,,,,,,,
130000,河北省,2012,170,39092,149521.3,128875.5,6313.6,4087.5,
130000,河北省,2011,156,35196,134967.9,134843.3,5998.9,4306.9,
130000,河北省,2010,170,48146,135481.0,135311.0,4067,7106.0,75394
130000,河北省,2009,184,47696,106535.7,106362.7,2792.3,6476.1,74281.4
130000,河北省,2008,223,58694,141633.3,139037.4,4305.9,7723.8,97804.8
130000,河北省,2007,165,68782,110863.3,110172.0,2262.8,1823.2,81560.9
130000,河北省,2006,186,75927,105520.5,106725.3,1942.5,3706.9,80345.3
130000,河北省,2005,198,73751,129874.7,129637.2,4248.3,2775.7,72060.5
130000,河北省,2004,,,,,,,
130000,河北省,2003,,,,,,,
130000,河北省,2002,,,,,,,
130000,河北省,2001,,,,,,,
130000,河北省,2000,,,,,,,
