年份,中国同大洋洲及太平洋群岛进出口总额,中国同澳大利亚进出口总额,中国同库克群岛进出口总额,中国同斐济进出口总额,中国同盖比群岛进出口总额,中国同瑙鲁进出口总额,中国同新喀里多尼亚进出口总额,中国同瓦努阿图进出口总额,中国同新西兰进出口总额,中国同诺福克岛进出口总额,中国同巴布亚新几内亚进出口总额,中国同社会群岛进出口总额,中国同所罗门群岛进出口总额,中国同汤加进出口总额,中国同土布艾群岛进出口总额,中国同萨摩亚进出口总额,中国同基里巴斯进出口总额,中国同图瓦卢进出口总额,中国同密克罗尼西亚联邦进出口总额,中国同马绍尔群岛共和国进出口总额,中国同帕劳共和国进出口总额,中国同法属波利尼西亚进出口总额,中国同瓦利斯和浮图纳进出口总额,中国同大洋洲其他国家(地区)进出口总额
2019,19673316.8103,16951921.9651,4440.8403,36471.2543,3.0695,125.295,124387.3854,9182.6456,1829428.593,48.5663,382436.3226,85.7024,55937.5586,2957.2815,14.4787,8828.9756,2110.1021,2176.4265,3122.037,242802.2621,1868.4681,10543.8742,71.5056,4350.175
2018,17864025.9,15314073.2,768.9,48198.0,9.5,203.2,122780.3,7910.1,1685802.8,198.5,361142.1,222.3,74755.7,2506.6,0.2,7111.9,1793.9,1243.4,4031.6,219860.9,1376.6,8230.1,29.8,1775.1
2017,15915877.0,13644734.9,1318.5,38301.7,3.0,69.9,87999.8,7982.4,1449120.1,223.1,284532.6,305.0,64740.1,2852.6,,6440.8,1580.4,1835.4,3794.3,311467.7,1683.5,6472.3,30.4,388.4
2016,12816227.8,10822241.4,441.9,40123.4,0.4,142.2,58918.9,6875.1,1190891.2,261.4,227874.7,280.7,46282.9,3035.1,0.1,7038.7,3436.1,565.3,2107.4,397086.7,1921.6,5840.5,77.2,784.9
2015,13335379.2,11381661.4,1589.0,34813.1,5.2,189.9,56836.9,8231.6,1150283.8,64.8,276164.2,375.1,54071.4,2703.5,,6325.0,4646.9,1286.8,1345.5,342813.0,1903.4,9356.4,75.5,637.2
2014,15603921.406,13677683.757800002,2112.2968,34013.5268,5.8599,276.4639,42494.4348,18715.1745,1424346.6308,105.66189999999999,203968.976,401.90520000000004,52327.5458,2397.8655,,5606.1528,2352.2599,464.4584,1478.3545,128024.6862,1051.8156999999999,5430.2057,123.6865,539.7
2013,15330873.6,13650822.2,2048.8,30387.4,13.4,111.2,21958.8,38272.7,1238489.8,51.7,135076.0,427.9,44132.3,3850.5,,5448.4,1911.3,753.4,1492.1,150020.8,320.0,4929.7,72.7,254.9
2012,13653367.8,12234625.0,505.2,23618.4,4.0,102.3,24603.3,13603.0,967483.1,32.5,128236.2,396.4,41437.9,2016.0,,7176.9,3415.6,14344.9,1500.4,184657.9,166.8,5185.6,20.1,
2011,12982165.118099999,11658308.7116,570.4239,17240.3165,19.5909,19.3546,21600.9027,13625.3948,871801.0223,35.7568,126824.4653,345.1841,37948.327399999995,1332.4365,5.5482,3784.3261,1316.5898,1493.9193,502.8129,220660.8673,119.9006,4342.7907,56.3034,209.8277
2010,9903469.4,8834231.6,489.5,12858.7,35.4,2.2,46388.2,2326.4,652741.1,22.8,112964.7,329.4,31546.8,976.0,,7007.5,1139.1,841.7,668.2,195127.0,199.7,3270.9,28.0,274.3
2009,6759084.0,6012996.8288,730.0,9713.0,17.0,2.0,18883.0,4881.0,456352.0,40.0,88528.0,323.0,19424.0,805.0,,4487.0,394.0,607.0,860.0,136613.0,130.0,2739.0,,558.0
2008,6611438.8766,5968239.7065,266.7043,9200.966199999999,38.1398,,16420.1322,3507.6245,440187.7527,99.7984,85926.9129,392.4381,22688.816,798.3284,,2786.5198,246.249,4625.0585,425.2686,45696.359000000004,311.721,2992.12,,738.7159
2007,4951455.4515,4382999.6907,297.6035,6625.4708,19.8746,4.0306,40839.5179,2134.6649,369792.2268,175.1851,68098.4382,359.5186,19251.6639,736.0572,,1184.5794,1668.8163,669.696,949.2322,51725.2048,74.2677,2816.6732,,1028.77
2006,3733296.0766000003,3294818.1634,201.7251,6922.5061,13.0,,18284.4943,1937.5497,293421.1554,53.4737,51824.5605,474.0011,12987.4364,375.3958,,1296.2702,118.1138,1095.8084,294.8594,45737.8186,68.5732,2056.9397,,1309.367
2005,3090073.0,2725513.0,591.0,4527.0,1.0,3.0,9356.0,828.0,267944.0,26.0,37605.0,572.0,10168.0,294.0,,598.0,143.0,635.0,244.0,28097.0,68.0,1673.0,,1175.0
2004,2350430.8,2039074.0,90.7,3871.1,24.8,9.9,6604.0,749.2,249058.4,35.9,29638.0,391.0,6127.3,627.8,,686.0,87.3,224.4,744.8,10457.9,43.3,843.6,,1042.0
2003,1588998.0,1356365.0,57.5,3132.1,33.6,5.0,1379.8,308.1,182609.0,39.1,29203.4,323.4,3475.4,209.6,,318.9,89.1,6.7,274.3,10026.4,18.9,343.9,,768.9
2002,1212288.0,1043561.0,20.0,3197.0,15.0,42.0,368.0,167.0,139931.0,12.0,18692.0,274.0,1929.0,484.0,,279.0,49.0,,130.0,2371.0,29.0,,,739.0
2001,1036728.0,899683.0,38.0,2633.0,1.0,39.0,367.0,147.0,117171.0,3.0,14151.0,319.0,696.0,118.0,,232.0,50.0,,187.0,182.0,163.0,,,544.0
2000,978757.0,845288.0,25.0,1543.0,,,,,105430.0,34.0,22559.0,,,,,,,,,,,,,
