年份,金融机构部门金融交易资金来源_净金融投资,金融机构部门金融交易资金来源_资金运用,金融机构部门金融交易资金来源_资金来源,金融机构部门金融交易资金来源_通货,金融机构部门金融交易资金来源_存款,金融机构部门金融交易资金来源_贷款,金融机构部门金融交易资金来源_证券,金融机构部门金融交易资金来源_证券投资基金份额,金融机构部门金融交易资金来源_证券公司客户保证金,金融机构部门金融交易资金来源_保险准备金,金融机构部门金融交易资金来源_未贴现的银行承兑汇票,金融机构部门金融交易资金来源_金融机构往来,金融机构部门金融交易资金来源_准备金,金融机构部门金融交易资金来源_库存现金,金融机构部门金融交易资金来源_中央银行贷款,金融机构部门金融交易资金来源_其他(净),金融机构部门金融交易资金来源_直接投资,金融机构部门金融交易资金来源_其他对外债权债务,金融机构部门金融交易资金来源_国际储备资产,金融机构部门金融交易资金来源_国际收支错误与遗漏
2019,,,,,,,,,,,,,,,,,,,,
2018,,,111350.186062511,2562.8155087571,105210.314643747,-6123.85890316973,,18784.0,-1228.8740178384,11109.098186222,-6342.8544505233,2201.31430610467,-9609.72447923526,-490.8967701939,9591.9023460204,-62841.5151106209,,482.308513126996,,
2017,,,356661.0,2342.0,142153.0,5256.0,,21754.0,-4598.0,12810.0,5381.0,27545.0,10528.0,-153.0,24731.0,63988.0,,1398.0,,
2016,,,461521.043408048,5087.3471519984,172181.830377768,6585.02740514385,50104.465693284,11754.0,-6226.711328,10030.3997432601,-19531.0557049216,9692.08826025373,26572.3703170384,-88.8268700012,38685.8086690056,155721.777225802,,952.522326447933,,
2015,,,352213.460896618,2957.089227,155584.364499584,15780.6833054565,44111.1599175451,23630.0,11200.512892,8390.9860426655,-10568.5299693679,-18133.6005386076,-17512.8835643248,-222.420942,-1037.708779,138771.95821041,,-738.149404742788,,
2014,,,307717.0,1688.0,130364.0,,19177.0,15328.0,8169.0,7488.0,-1198.0,28153.0,20834.0,482.0,15654.0,59777.0,,1802.0,,
2013,,,266620.061817492,3915.3975501005,153562.483675415,,4139.19197349998,1352.15,-310.409313,6665.1494870959,7755.65541204741,18274.9707859188,14302.3222683364,419.5654469459,412.7375579815,54654.9075865412,,1475.93938660982,,
2012,,,245774.0,3910.0,129748.0,,12625.0,5198.0,-685.0,6868.0,10499.0,-60.0,23150.0,928.0,476.0,51780.0,,1338.0,,
2011,,,196038.0,6162.0,113415.0,1442.0,-3927.0,2282.0,-6511.0,5242.0,10271.0,4188.0,36154.0,1042.0,-727.0,26753.0,,252.0,,
2010,,,227985.724326694,6507.436967,130662.156761,251.0,11278.68557746,-1566.3,-2372.86666666667,2469.772357,23346.0,3542.74673274233,33260.799686,713.992937,469.058602,19395.04679152,,28.1945816385,,
2009,,,168847.0,4046.0,132764.0,441.0,4786.0,-1206.0,6272.0,5864.0,,6312.0,11507.0,416.0,-1589.0,-788.0,,25.0,,
2008,,,122790.0,4112.0,77381.0,1517.0,20236.0,3336.0,-5340.0,4480.0,,-5206.0,21100.0,50.0,-485.0,1529.0,,80.0,,
2007,,,107343.0,3303.0,54243.0,1058.0,14370.0,5437.0,8986.0,3117.0,,-2317.0,20713.0,571.0,-8714.0,5386.0,530.0,177.0,,
2006,,,93505.0,3041.0,50017.0,672.0,18451.0,1191.0,3416.0,3129.0,,-2440.0,11423.0,80.0,-1651.0,3980.0,,504.0,,
2005,,,71910.6724809192,2563.3693399165,42473.0338576364,194.4907739684,16885.722871,,,2744.0452243,,4749.3361010865,2832.7287086875,399.9379700899,-1707.76938597,735.589014111437,,278.613069471,,
2004,,,55419.8957709983,1722.3107334903,33761.5592233971,811.4942715806,10408.289574,,,2463.5448077,,500.733793738701,4723.5698660365,176.4039056578,-1191.1275445009,1942.51643979374,,211.235275216,,
2003,,,52996.2742370093,2467.9643849894,36159.6053832504,801.95211965,3600.15,,,2254.2632,,1642.7188841786,3910.0991979352,289.307071782,850.0626484709,857.159021826455,,-6.12017934,,
2002,,,35637.6,1589.230261212,27911.778351975,-156.80439353,3006.5,,,1640.590644,,1345.8261795656,1640.1650165505,128.3590165879,-455.6618025245,-1016.97678472631,,-51.23976174,,
2001,,,23940.92,1036.15,19135.64,-133.14,1151.2,,,938.27,,-952.63,1983.01,-102.97,305.45,350.88,,-52.85,,
2000,,,,,,,,,,,,,,,,,,,,
