年份,农村居民人均住房面积,农村居民家庭住房价值,农村居民家庭住房钢筋混凝土结构,农村居民家庭住房砖木结构
2019,,,,
2018,,,,
2017,,,,
2016,,,,
2015,,,,
2014,,,,
2013,,,,
2012,37.08603173,681.9001285,17.12213545,16.34623812
2011,36.24463421,654.3662,16.48459325,15.9182129
2010,34.08,391.7,15.1,15.24
2009,33.579,359.35,14.51,15.11
2008,32.42418736,332.8317961,13.39836373,14.88790584
2007,31.63093724,313.5909688,12.54886408,14.7864931
2006,30.65,287.7686786,11.79,14.59
2005,29.68,267.7643515,11.16560911,14.11921399
2004,27.89500262,226.1318968,9.170645033,14.09383282
2003,27.23842045,217.0703345,8.52942054,14.12232507
2002,26.53464999,202.78,7.688533553,13.88171787
2001,25.73151192,196.122202,6.93662944,13.82350303
2000,24.82006248,187.40607,6.150866979,13.60687503
