年份,有产品或工艺创新活动的规模以上制造业内资企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上制造业国有企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上制造业集体企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上制造业股份合作企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上制造业联营企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上制造业有限责任公司数占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上制造业国有独资公司数占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上制造业股份有限公司数占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上制造业私营企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上制造业其他企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上制造业港、澳、台商投资企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上制造业外商投资企业占全部规模以上制造业企业的比重
2019,,,,,,,,,,,,
2018,,,,,,,,,,,,
2017,41.084,48.173,20.791,38.196,21.25,43.173,62.095,70.398,38.832,23.43,49.211,48.317
2016,38.664,49.905,22.059,37.665,19.149,39.354,62.841,66.381,37.031,21.465,45.507,46.729
2015,,,,,,,,,,,,
2014,,,,,,,,,,,,
2013,,,,,,,,,,,,
2012,,,,,,,,,,,,
2011,,,,,,,,,,,,
2010,,,,,,,,,,,,
2009,,,,,,,,,,,,
2008,,,,,,,,,,,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
