年份,有产品或工艺创新活动的规模以上_制造业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_农副食品加工业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_食品制造业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_酒、饮料和精制茶制造业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_烟草制品业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_纺织业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_纺织服装、服饰业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_皮革、毛皮、羽毛及其制品和制鞋业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_木材加工和木、竹、藤、棕、草制品业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_家具制造业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_造纸和纸制品业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_印刷和记录媒介复制业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_文教、工美、体育和娱乐用品制造业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_石油加工、炼焦和核燃料加工业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_化学原料和化学制品制造业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_医药制造业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_化学纤维制造业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_橡胶和塑料制品业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_非金属矿物制品业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_黑色金属冶炼和压延加工业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_有色金属冶炼和压延加工业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_金属制品业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_通用设备制造业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_专用设备制造业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_汽车制造业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_铁路、船舶、航空航天和其他运输设备制造业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_电气机械和器材制造业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_计算机、通信和其他电子设备制造业企业占全部规模以上制造业企业的比重,有产品或工艺创新活动的规模以上_仪器仪表制造业企业占全部规模以上制造业企业的比重
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,42.091,28.817,40.072,35.886,66.393,31.902,26.445,29.808,24.201,32.558,31.578,32.698,36.456,36.465,48.104,65.918,47.804,39.739,26.748,32.607,42.814,38.706,53.102,58.325,52.646,51.919,59.86,67.298,70.262
2016,39.68,28.485,38.682,35.292,60.156,31.693,26.164,28.039,24.378,32.422,29.745,30.088,36.439,34.187,44.928,62.997,46.484,35.922,25.064,30.251,41.868,35.55,50.562,54.496,49.734,50.071,55.782,63.305,68.573
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
